time,OutsTemp
1274.781,11.5
1274.981,11.5
1275.181,11.5
1275.381,11.5
1275.581,11.5
1275.781,11.5
1275.981,11.5
1276.181,11.5
1276.381,11.5
1276.581,11.5
1276.781,11.5
1276.981,11.5
1277.181,11.5
1277.381,11.5
1277.581,11.5
1277.781,11.5
1277.981,11.5
1278.181,11.5
1278.381,11.5
1278.581,11.5
1278.781,11.5
1278.981,11.5
1279.181,11.5
1279.381,11.5
1279.581,11.5
1279.781,11.5
1279.981,11.5
1280.181,11.5
1280.381,11.5
1280.581,11.5
1280.781,11.5
1280.981,11.5
1281.181,11.5
1281.381,11.5
1281.581,11.5
1281.781,11.5
1281.981,11.5
1282.181,11.5
1282.381,11.5
1282.581,11.5
1282.781,11.5
1282.981,11.5
1283.181,11.5
1283.381,11.5
1283.581,11.5
1283.781,11.5
1283.981,11.5
1284.181,11.5
1284.381,11.5
1284.581,11.5
1284.781,11.5
1284.981,11.5
1285.181,11.5
1285.381,11.5
1285.581,11.5
1285.781,11.5
1285.981,11.5
1286.181,11.5
1286.381,11.5
1286.581,11.5
1286.781,11.5
1286.981,11.5
1287.181,11.5
1287.381,11.5
1287.581,11.5
1287.781,11.5
1287.981,11.5
1288.181,11.5
1288.381,11.5
1288.581,11.5
1288.781,11.5
1288.981,11.5
1289.181,11.5
1289.381,11.5
1289.581,11.5
1289.781,11.5
1289.981,11.5
1290.181,11.5
1290.381,11.5
1290.581,11.5
1290.781,11.5
1290.981,11.5
1291.181,11.5
1291.381,11.5
1291.581,11.5
1291.781,11.5
1291.981,11.5
1292.181,11.5
1292.381,11.5
1292.581,11.5
1292.781,11.5
1292.981,11.5
1293.181,11.5
1293.381,11.5
1293.581,11.5
1293.781,11.5
1293.981,11.5
1294.181,11.5
1294.381,11.5
1294.581,11.5
1294.781,11.5
1294.981,11.5
1295.181,11.5
1295.381,11.5
1295.581,11.5
1295.781,11.5
1295.981,11.5
1296.181,11.5
1296.381,11.5
1296.581,11.5
1296.781,11.5
1296.981,11.5
1297.181,11.5
1297.381,11.5
1297.581,11.5
