time,AccPed2D
293.1458,99.9855
293.1657,99.9855
293.1858,99.9855
293.2047,99.9855
293.2248,99.9855
293.2448,99.9855
293.2647,99.9855
293.2848,99.9855
293.3047,0
293.3247,94.8882
293.3448,41.1705
293.3647,0
293.3847,99.9855
293.4048,99.9855
293.4247,99.9855
293.4448,99.9855
293.4648,99.9855
293.4847,99.9855
293.5048,99.9855
293.5247,99.9855
293.5447,99.9855
293.5648,99.9855
293.5847,99.9855
293.6047,99.9855
293.6248,0
293.6447,94.8882
293.6648,41.1705
293.6848,0
293.7047,99.9855
293.7248,99.9855
293.7448,99.9855
293.7647,99.9855
293.7848,99.9855
293.8047,99.9855
293.8247,99.9855
293.8448,99.9855
293.8647,99.9855
293.8847,99.9855
293.9048,99.9855
293.9247,99.9855
293.9448,8.6262
293.9648,94.8882
293.9847,41.1705
294.0048,0
294.0247,99.9855
294.0447,99.9855
294.0648,99.9855
294.0847,99.9855
294.1047,99.9855
294.1248,99.9855
294.1447,99.9855
294.1648,99.9855
294.1848,99.9855
294.2047,99.9855
294.2248,99.9855
294.2448,99.9855
294.2647,10.1946
294.2848,94.8882
294.3047,41.1705
294.3247,0
294.3448,99.9855
294.3647,99.9855
294.3847,99.9855
294.4048,99.9855
294.4247,99.9855
294.4448,99.9855
294.4648,99.9855
294.4847,99.9855
294.5048,99.9855
294.5247,99.9855
294.5447,99.9855
294.5648,99.9855
294.5847,12.1551
294.6047,94.8882
294.6248,41.1705
294.6447,0
294.6648,99.9855
294.6848,99.9855
294.7047,99.9855
294.7238,99.9855
294.7437,99.9855
294.7638,99.9855
294.7838,99.9855
294.8037,99.9855
294.8238,99.9855
294.8438,99.9855
294.8637,99.9855
294.8838,99.9855
294.9037,13.7235
294.9237,94.8882
294.9438,41.1705
294.9637,0
294.9838,99.9855
295.0038,99.9855
295.0237,99.9855
295.0438,99.9855
295.0638,99.9855
295.0837,99.9855
295.1038,99.9855
295.1237,99.9855
295.1437,99.9855
295.1638,99.9855
295.1837,99.9855
295.2037,99.9855
295.2238,11.763
295.2437,94.8882
295.2638,41.1705
295.2838,0
295.3037,99.9855
295.3238,99.9855
295.3438,99.9855
295.3637,99.9855
295.3838,99.9855
295.4037,99.9855
295.4237,99.9855
295.4438,99.9855
295.4637,99.9855
295.4838,99.9855
295.5038,99.9855
295.5237,99.9855
295.5438,12.1551
295.5638,94.8882
295.5837,41.1705
295.6038,0
295.6237,99.9855
295.6437,99.9855
295.6638,99.9855
295.6837,99.9855
295.7037,99.9855
295.7238,99.9855
295.7437,99.9855
295.7638,99.9855
295.7838,99.9855
295.8037,99.9855
295.8238,99.9855
295.8438,99.9855
295.8637,14.8998
295.8838,94.8882
295.9037,41.1705
295.9237,0
295.9438,99.9855
295.9637,99.9855
295.9838,99.9855
296.0038,99.9855
296.0237,99.9855
296.0438,99.9855
296.0638,99.9855
296.0837,99.9855
296.1038,99.9855
296.1237,99.9855
296.1437,99.9855
296.1638,99.9855
296.1837,11.3709
296.2028,94.8882
296.2227,41.1705
296.2427,0
296.2628,99.9855
296.2827,99.9855
296.3028,99.9855
296.3228,99.9855
296.3427,99.9855
296.3628,99.9855
296.3828,99.9855
296.4027,99.9855
296.4228,99.9855
296.4427,99.9855
296.4627,99.9855
296.4828,99.9855
296.5027,16.4682
296.5227,94.8882
296.5428,41.1705
296.5627,0
296.5828,99.9855
296.6028,99.9855
296.6227,99.9855
296.6428,99.9855
296.6628,99.9855
296.6827,99.9855
