"time,RevoPMin"
"20.58766,1971"
"20.60766,1972"
"20.62766,1974"
"20.64766,1978"
"20.66766,1976"
"20.68766,1978"
"20.70766,1976"
"20.72766,1971"
"20.74766,1972"
"20.76766,1970"
"20.78666,1967"
"20.80666,1969"
"20.82666,1968"
"20.84666,1961"
"20.86666,1960"
"20.88766,1960"
"20.90666,1955"
"20.92666,1959"
"20.94666,1959"
"20.96666,1954"
"20.98666,1958"
"21.00666,1956"
"21.02666,1954"
"21.04666,1958"
"21.06666,1956"
"21.08666,1956"
"21.10666,1961"
"21.12666,1964"
"21.14666,1961"
"21.16666,1959"
"21.18666,1956"
"21.20666,1955"
"21.22666,1955"
"21.24666,1955"
"21.26666,1954"
"21.28666,1952"
"21.30666,1952"
"21.32666,1953"
"21.34666,1952"
"21.36666,1952"
"21.38666,1951"
"21.40666,1943"
"21.42666,1939"
"21.44666,1940"
"21.46666,1934"
"21.48666,1932"
"21.50666,1929"
"21.52666,1926"
"21.54666,1926"
"21.56666,1929"
"21.58666,1926"
"21.60666,1929"
"21.62666,1927"
"21.64666,1924"
"21.66666,1928"
"21.68666,1929"
"21.70666,1926"
"21.72666,1928"
"21.74666,1930"
"21.76666,1929"
"21.78666,1927"
"21.80666,1924"
"21.82666,1921"
"21.84666,1914"
"21.86666,1912"
"21.88666,1911"
"21.90666,1911"
"21.92666,1910"
"21.94666,1910"
"21.96666,1906"
"21.98666,1908"
"22.00666,1909"
"22.02666,1908"
"22.04666,1908"
"22.06666,1907"
"22.08666,1903"
"22.10666,1905"
"22.12666,1905"
"22.14666,1901"
"22.16666,1904"
"22.18666,1906"
"22.20666,1905"
"22.22666,1903"
"22.24666,1900"
"22.26666,1901"
"22.28566,1901"
"22.30566,1901"
"22.32566,1897"
"22.34566,1896"
"22.36666,1883"
"22.38666,1881"
"22.40666,1862"
"22.42566,1857"
"22.44566,1845"
"22.46566,1831"
"22.48666,1834"
"22.50566,1851"
"22.52566,1847"
"22.54566,1804"
"22.56566,1773"
"22.58566,1750"
"22.60566,1712"
"22.62566,1685"
"22.64566,1660"
"22.66566,1633"
"22.68566,1609"
"22.70566,1571"
"22.72566,1545"
"22.74566,1516"
"22.76566,1491"
"22.78566,1461"
"22.80566,1448"
"22.82566,1415"
"22.84566,1380"
"22.86566,1339"
"22.88566,1299"
"22.90566,1279"
"22.92566,1234"
"22.94566,1191"
"22.96566,1168"
"22.98566,1120"
"23.00566,1095"
"23.02566,1076"
"23.04566,1041"
"23.06566,1027"
"23.08566,1019"
"23.10566,996"
"23.12566,984"
"23.14566,981"
"23.16566,964"
"23.18566,955"
"23.20566,955"
"23.22566,953"
"23.24566,959"
"23.26566,966"
"23.28566,975"
"23.30566,974"
"23.32566,975"
"23.34566,976"
"23.36566,968"
"23.38566,967"
"23.40566,962"
"23.42566,954"
"23.44566,951"
"23.46566,952"
"23.48566,947"
"23.50566,942"
"23.52566,944"
"23.54566,943"
"23.56566,940"
"23.58566,940"
"23.60566,936"
"23.62566,933"
"23.64566,933"
"23.66566,933"
"23.68566,927"
"23.70566,927"
"23.72566,926"
"23.74566,921"
"23.76566,919"
"23.78566,920"
"23.80566,916"
"23.82466,913"
"23.84466,917"
"23.86466,917"
"23.88466,911"
"23.90466,910"
"23.92466,908"
"23.94466,906"
"23.96466,906"
"23.98466,908"
"24.00466,904"
"24.02466,899"
"24.04466,901"
"24.06466,899"
"24.08466,897"
"24.10466,900"
"24.12466,902"
"24.14466,901"
"24.16466,900"
"24.18466,899"
"24.20466,899"
"24.22466,899"
"24.24466,900"
"24.26466,900"
"24.28466,899"
"24.30466,901"
"24.32466,902"
"24.34466,900"
"24.36466,903"
"24.38466,907"
"24.40466,905"
"24.42466,903"
"24.44466,905"
"24.46466,904"
"24.48466,902"
"24.50466,905"
"24.52466,906"
"24.54466,899"
"24.56466,902"
"24.58466,904"
"24.60466,902"
"24.62466,902"
"24.64466,905"
"24.66466,906"
"24.68466,905"
"24.70466,906"
"24.72466,908"
"24.74466,906"
"24.76466,908"
"24.78466,909"
"24.80466,907"
"24.82466,904"
"24.84466,903"
"24.86466,900"
"24.88466,898"
"24.90466,901"
"24.92466,903"
"24.94466,897"
"24.96466,899"
"24.98466,900"
"25.00466,899"
"25.02466,899"
"25.04466,905"
"25.06466,904"
"25.08466,902"
"25.10466,904"
"25.12466,906"
"25.14466,905"
"25.16466,906"
"25.18466,907"
"25.20466,908"
"25.22466,906"
"25.24466,903"
"25.26466,902"
"25.28466,901"
"25.30466,904"
"25.32466,905"
"25.34466,903"
"25.36366,904"
"25.38366,905"
"25.40466,903"
"25.42466,905"
"25.44466,908"
"25.46466,906"
"25.48466,905"
"25.50466,907"
"25.52466,907"
"25.54466,906"
"25.56366,908"
"25.58366,908"
"25.60366,905"
"25.62366,904"
"25.64366,904"
"25.66366,903"
"25.68366,903"
"25.70366,905"
"25.72366,903"
"25.74366,901"
"25.76366,904"
"25.78366,905"
"25.80366,903"
"25.82366,906"
"25.84366,909"
"25.86366,908"
"25.88366,907"
"25.90366,908"
"25.92366,906"
"25.94366,906"
"25.96366,908"
"25.98366,910"
"26.00366,904"
"26.02366,906"
"26.04366,907"
"26.06366,916"
"26.08366,931"
"26.10366,968"
"26.12366,985"
"26.14366,1005"
"26.16366,1039"
"26.18366,1055"
"26.20366,1094"
"26.22366,1116"
"26.24366,1158"
"26.26366,1177"
"26.28366,1216"
"26.30366,1258"
"26.32366,1293"
"26.34366,1306"
"26.36366,1334"
"26.38366,1359"
"26.40366,1372"
"26.42366,1384"
"26.44366,1391"
"26.46366,1408"
"26.48366,1421"
"26.50366,1432"
"26.52366,1443"
"26.54366,1457"
"26.56366,1468"
"26.58366,1482"
"26.60366,1498"
"26.62366,1515"
"26.64366,1527"
"26.66366,1537"
"26.68366,1543"
"26.70366,1551"
"26.72366,1558"
"26.74366,1563"
"26.76366,1564"
"26.78366,1566"
"26.80266,1564"
"26.82266,1566"
"26.84266,1562"
"26.86266,1560"
"26.88266,1554"
"26.90266,1549"
"26.92266,1541"
"26.94266,1535"
"26.96266,1526"
"26.98266,1518"
"27.00266,1508"
"27.02266,1501"
"27.04266,1491"
"27.06266,1484"
"27.08266,1475"
"27.10266,1467"
"27.12266,1457"
"27.14266,1453"
"27.16266,1444"
"27.18266,1438"
"27.20266,1430"
"27.22266,1426"
"27.24266,1423"
"27.26266,1417"
"27.28266,1413"
"27.30266,1412"
"27.32266,1409"
"27.34266,1409"
"27.36266,1410"
"27.38266,1411"
"27.40266,1411"
"27.42266,1410"
"27.44266,1415"
"27.46266,1416"
"27.48266,1419"
"27.50266,1419"
"27.52266,1428"
"27.54266,1433"
"27.56266,1439"
"27.58266,1445"
"27.60266,1456"
"27.62266,1462"
"27.64266,1474"
"27.66266,1484"
"27.68266,1495"
"27.70266,1510"
"27.72266,1524"
"27.74266,1539"
"27.76266,1554"
"27.78266,1567"
"27.80266,1580"
"27.82266,1587"
"27.84266,1602"
"27.86266,1612"
"27.88266,1624"
"27.90266,1636"
"27.92266,1644"
"27.94266,1650"
"27.96266,1657"
"27.98266,1664"
"28.00266,1679"
"28.02266,1690"
"28.04266,1697"
"28.06266,1713"
"28.08266,1732"
"28.10266,1745"
"28.12266,1758"
