"time,FuelCons"
"13.33175,30467"
"13.35175,30472"
"13.37175,30476"
"13.39175,30481"
"13.41175,30487"
"13.43175,30491"
"13.45175,30496"
"13.47175,30500"
"13.49175,30505"
"13.51175,30510"
"13.53175,30514"
"13.55175,30518"
"13.57175,30522"
"13.59175,30527"
"13.61175,30532"
"13.63175,30536"
"13.65175,30541"
"13.67175,30546"
"13.69175,30551"
"13.71175,30556"
"13.73175,30561"
"13.75175,30567"
"13.77175,30572"
"13.79175,30577"
"13.81175,30582"
"13.83175,30588"
"13.85175,30593"
"13.87175,30598"
"13.89175,30604"
"13.91175,30610"
"13.93175,30616"
"13.95175,30621"
"13.97175,30627"
"13.99175,30633"
"14.01175,30640"
"14.03175,30647"
"14.05175,30655"
"14.07175,30664"
"14.09175,30672"
"14.11175,30681"
"14.13175,30690"
"14.15175,30700"
"14.17175,30709"
"14.19175,30718"
"14.21175,30728"
"14.23175,30738"
"14.25175,30748"
"14.27175,30759"
"14.29175,30769"
"14.31175,30780"
"14.33175,30792"
"14.35175,30803"
"14.37175,30815"
"14.39175,30827"
"14.41175,30839"
"14.43175,30852"
"14.45175,30865"
"14.47175,30878"
"14.49175,30893"
"14.51175,30907"
"14.53175,30922"
"14.55175,30937"
"14.57175,30953"
"14.59175,30969"
"14.61175,30986"
"14.63175,31002"
"14.65175,31019"
"14.67175,31036"
"14.69175,31053"
"14.71175,31070"
"14.73175,31088"
"14.75175,31105"
"14.77175,31123"
"14.79175,31141"
"14.81075,31159"
"14.83175,31178"
"14.85175,31197"
"14.87075,31216"
"14.89075,31236"
"14.91075,31256"
"14.93075,31277"
"14.95175,31298"
"14.97075,31320"
"14.99175,31342"
"15.01075,31364"
"15.03075,31387"
"15.05175,31409"
"15.07075,31432"
"15.09075,31455"
"15.11075,31479"
"15.13075,31504"
"15.15175,31529"
"15.17075,31554"
"15.19075,31580"
"15.21075,31607"
"15.23075,31634"
"15.25175,31662"
"15.27075,31690"
"15.29075,31719"
"15.31075,31748"
"15.33075,31777"
"15.35075,31807"
"15.37075,31837"
"15.39075,31868"
"15.41075,31900"
"15.43075,31932"
"15.45075,31965"
"15.47075,31998"
"15.49075,32031"
"15.51075,32065"
"15.53075,32099"
"15.55075,32133"
"15.57075,32168"
"15.59075,32203"
"15.61075,32238"
"15.63075,32273"
"15.65075,32308"
"15.67075,32344"
"15.69075,32380"
"15.71075,32416"
"15.73075,32453"
"15.75075,32490"
"15.77075,32528"
"15.79075,32566"
"15.81075,32604"
"15.83075,32643"
"15.85075,32683"
"15.87075,32723"
"15.89075,32763"
"15.91075,35"
"15.93075,75"
"15.95075,116"
"15.97075,156"
"15.99075,197"
"16.01075,239"
"16.03075,280"
"16.05075,322"
"16.07075,364"
"16.09075,406"
"16.11075,448"
"16.13075,490"
"16.15075,532"
"16.17075,575"
"16.19075,618"
"16.21075,661"
"16.23075,705"
"16.25075,747"
"16.27075,790"
"16.29075,833"
"16.31075,876"
"16.32975,919"
"16.34975,962"
"16.36975,1006"
"16.38975,1049"
"16.40975,1092"
"16.42975,1136"
"16.44975,1179"
"16.46975,1222"
"16.48975,1264"
"16.50975,1307"
"16.52975,1350"
"16.54975,1393"
"16.56975,1437"
"16.58975,1480"
"16.60975,1523"
"16.62975,1567"
"16.64975,1611"
"16.66975,1654"
"16.68975,1697"
"16.70975,1741"
"16.72975,1784"
"16.74975,1826"
"16.76975,1870"
"16.78975,1912"
"16.80975,1955"
"16.82975,1998"
"16.84975,2041"
"16.86975,2084"
"16.88975,2127"
"16.90975,2169"
"16.92975,2212"
"16.94975,2254"
"16.96975,2296"
"16.98975,2339"
"17.00975,2381"
"17.02975,2423"
"17.04975,2466"
"17.06975,2508"
"17.08975,2550"
"17.10975,2593"
"17.12975,2636"
"17.14975,2678"
"17.16975,2720"
"17.18975,2762"
"17.20975,2803"
"17.22975,2846"
"17.24975,2888"
"17.26975,2929"
"17.28975,2971"
"17.30975,3012"
"17.32975,3054"
"17.34975,3096"
"17.36975,3139"
"17.38975,3181"
"17.40975,3224"
"17.42975,3266"
"17.44975,3308"
"17.46975,3350"
"17.48975,3392"
"17.50975,3434"
"17.52975,3475"
"17.54975,3518"
"17.56975,3560"
"17.58975,3602"
"17.60975,3643"
"17.62975,3685"
"17.64975,3726"
"17.66975,3767"
"17.68975,3809"
"17.70975,3850"
"17.72975,3891"
"17.74975,3933"
"17.76975,3975"
"17.78975,4016"
"17.80975,4059"
"17.82875,4101"
"17.84875,4142"
"17.86875,4184"
"17.88875,4226"
"17.90875,4267"
"17.92875,4309"
"17.94875,4349"
"17.96875,4390"
"17.98875,4430"
"18.00875,4471"
"18.02875,4511"
"18.04875,4550"
"18.06875,4589"
"18.08875,4628"
"18.10875,4666"
"18.12875,4705"
"18.14875,4742"
"18.16875,4779"
"18.18875,4817"
"18.20875,4853"
"18.22875,4890"
"18.24875,4926"
"18.26875,4962"
"18.28875,4997"
"18.30875,5032"
"18.32875,5067"
"18.34875,5101"
"18.36875,5136"
"18.38875,5171"
"18.40875,5206"
"18.42875,5240"
"18.44875,5275"
"18.46875,5309"
"18.48875,5344"
"18.50875,5378"
"18.52875,5412"
"18.54875,5447"
"18.56875,5481"
"18.58875,5515"
"18.60875,5549"
"18.62875,5583"
"18.64875,5618"
"18.66875,5652"
"18.68875,5686"
"18.70875,5720"
"18.72875,5754"
"18.74875,5788"
"18.76875,5821"
"18.78875,5855"
"18.80875,5889"
"18.82875,5923"
"18.84875,5957"
"18.86875,5990"
"18.88875,6024"
"18.90875,6057"
"18.92875,6091"
"18.94875,6124"
"18.96875,6157"
"18.98875,6190"
"19.00875,6222"
"19.02875,6255"
"19.04875,6288"
"19.06875,6321"
"19.08875,6354"
"19.10875,6386"
"19.12875,6418"
"19.14875,6450"
"19.16875,6482"
"19.18875,6513"
"19.20875,6545"
"19.22875,6577"
"19.24875,6608"
"19.26875,6640"
"19.28875,6672"
"19.30875,6704"
"19.32775,6736"
"19.34775,6767"
"19.36775,6799"
"19.38775,6831"
"19.40775,6862"
"19.42775,6893"
"19.44775,6925"
"19.46775,6956"
"19.48775,6987"
"19.50775,7017"
"19.52875,7048"
"19.54775,7079"
"19.56775,7110"
"19.58775,7140"
"19.60775,7171"
"19.62775,7202"
"19.64775,7232"
"19.66775,7263"
"19.68775,7293"
"19.70775,7323"
"19.72775,7354"
"19.74775,7384"
"19.76775,7415"
"19.78775,7445"
"19.80775,7476"
"19.82775,7506"
"19.84775,7537"
"19.86775,7567"
"19.88775,7598"
"19.90775,7629"
"19.92775,7660"
"19.94775,7690"
"19.96775,7721"
"19.98775,7752"
"20.00775,7783"
"20.02775,7814"
"20.04775,7844"
"20.06775,7875"
"20.08775,7906"
"20.10775,7936"
"20.12775,7967"
"20.14775,7998"
"20.16775,8028"
"20.18775,8059"
"20.20775,8089"
"20.22775,8119"
"20.24775,8149"
"20.26775,8180"
"20.28775,8210"
"20.30775,8241"
"20.32775,8272"
"20.34775,8302"
"20.36775,8333"
"20.38775,8364"
"20.40775,8394"
"20.42775,8425"
"20.44775,8455"
"20.46775,8486"
"20.48775,8517"
"20.50775,8548"
"20.52775,8580"
"20.54775,8611"
"20.56775,8642"
"20.58775,8672"
"20.60775,8703"
"20.62775,8733"
"20.64775,8762"
"20.66775,8792"
"20.68775,8822"
"20.70775,8852"
"20.72775,8882"
"20.74775,8911"
"20.76775,8941"
"20.78775,8970"
"20.80775,8999"
"20.82775,9028"
"20.84775,9057"
"20.86775,9086"
"20.88775,9114"
"20.90775,9143"
"20.92775,9170"
"20.94775,9198"
"20.96775,9226"
"20.98775,9254"
"21.00775,9281"
"21.02775,9309"
"21.04775,9336"
"21.06775,9363"
"21.08775,9390"
"21.10775,9417"
"21.12675,9444"
"21.14675,9471"
"21.16675,9498"
"21.18675,9525"
"21.20675,9553"
"21.22675,9580"
"21.24675,9607"
"21.26675,9635"
"21.28675,9662"
"21.30675,9689"
"21.32675,9717"
"21.34675,9744"
"21.36675,9771"
"21.38675,9798"
"21.40675,9826"
"21.42675,9853"
"21.44675,9881"
"21.46675,9908"
"21.48675,9936"
"21.50675,9963"
"21.52675,9990"
"21.54675,10017"
"21.56675,10044"
"21.58675,10071"
"21.60675,10097"
"21.62675,10124"
"21.64675,10151"
"21.66675,10177"
"21.68675,10204"
"21.70675,10230"
"21.72675,10257"
"21.74675,10283"
"21.76675,10310"
"21.78675,10336"
"21.80675,10363"
"21.82675,10390"
"21.84675,10417"
"21.86675,10445"
"21.88675,10472"
"21.90675,10499"
"21.92675,10526"
"21.94675,10553"
"21.96675,10580"
"21.98675,10607"
"22.00675,10633"
"22.02675,10661"
"22.04675,10688"
"22.06675,10715"
"22.08675,10743"
"22.10675,10772"
"22.12675,10800"
"22.14675,10829"
"22.16675,10857"
"22.18675,10886"
"22.20675,10915"
"22.22675,10945"
"22.24675,10975"
"22.26675,11005"
"22.28675,11035"
"22.30575,11065"
"22.32575,11095"
"22.34575,11123"
"22.36575,11150"
"22.38575,11174"
"22.40575,11196"
"22.42575,11214"
"22.44575,11230"
"22.46575,11245"
"22.48575,11258"
"22.50575,11258"
"22.52575,11258"
"22.54575,11260"
"22.56575,11262"
"22.58575,11265"
"22.60575,11267"
"22.62575,11270"
"22.64575,11272"
"22.66575,11274"
"22.68575,11276"
"22.70575,11277"
"22.72575,11278"
"22.74575,11279"
"22.76575,11280"
"22.78575,11281"
"22.80575,11281"
"22.82575,11282"
"22.84575,11282"
"22.86575,11283"
"22.88575,11283"
"22.90575,11284"
"22.92575,11284"
"22.94575,11284"
"22.96575,11284"
"22.98575,11286"
"23.00575,11289"
"23.02575,11292"
"23.04575,11295"
"23.06575,11299"
"23.08575,11302"
"23.10575,11305"
"23.12575,11309"
"23.14575,11312"
"23.16575,11316"
"23.18575,11319"
"23.20575,11324"
"23.22575,11328"
"23.24575,11333"
"23.26575,11337"
"23.28575,11340"
"23.30575,11344"
"23.32575,11348"
"23.34575,11351"
"23.36575,11355"
