time,AccSignl
19.26684,44.4
19.28684,44.4
19.30584,44
19.32584,43.6
19.34584,43.6
19.36584,43.6
19.38584,43.6
19.40584,43.6
19.42584,43.6
19.44584,43.6
19.46584,43.6
19.48584,43.6
19.50584,43.6
19.52584,43.6
19.54584,43.6
19.56584,43.6
19.58584,43.6
19.60584,43.6
19.62584,43.6
19.64584,43.6
19.66584,43.6
19.68584,43.6
19.70584,43.6
19.72584,43.6
19.74584,43.6
19.76584,43.6
19.78584,43.6
19.80584,43.6
19.82584,43.6
19.84584,43.6
19.86584,43.6
19.88584,43.6
19.90584,43.6
19.92584,43.6
19.94584,43.6
19.96584,43.6
19.98584,43.6
20.00584,43.6
20.02584,43.6
20.04584,43.6
20.06584,43.6
20.08584,43.6
20.10584,43.6
20.12584,43.6
20.14584,43.6
20.16584,43.6
20.18584,43.6
20.20584,43.6
20.22584,43.6
20.24584,43.6
20.26584,43.6
20.28584,43.6
20.30584,43.6
20.32584,43.6
20.34584,43.6
20.36584,43.6
20.38584,43.6
20.40584,43.6
20.42584,43.6
20.44584,43.6
20.46584,43.6
20.48584,43.6
20.50584,43.6
20.52584,43.6
20.54584,43.6
20.56584,43.6
20.58584,43.6
20.60584,42.8
20.62584,42.8
20.64584,42.8
20.66584,42
20.68584,41.6
20.70584,41.6
20.72584,41.6
20.74584,41.6
20.76584,40
20.78584,40
20.80584,40
20.82484,40
20.84484,40
20.86484,40
20.88484,40
20.90484,40
20.92584,40
20.94484,40
20.96484,40
20.98484,40
21.00484,40
21.02484,40
21.04484,40
21.06484,40
21.08484,40
21.10484,40
21.12484,40
21.14484,40
21.16484,40
21.18484,40
21.20484,40
21.22484,40
21.24484,40
21.26484,40
21.28484,40
21.30484,40
21.32484,40
21.34484,40
21.36484,39.6
21.38484,39.6
21.40484,39.6
21.42484,39.6
21.44484,39.6
21.46484,39.6
21.48484,39.6
21.50484,39.6
21.52484,39.6
21.54484,39.6
21.56484,39.6
21.58484,39.6
21.60484,39.6
21.62484,39.6
21.64484,39.6
21.66484,39.6
21.68484,39.6
21.70484,39.6
21.72484,39.6
21.74484,39.6
21.76484,39.6
21.78484,39.6
21.80484,39.6
21.82484,39.6
21.84484,39.6
21.86484,39.6
21.88484,40
21.90484,40
21.92484,40
21.94484,40
21.96484,40.4
21.98484,40.8
22.00484,41.6
22.02484,42.4
22.04484,42.4
22.06484,43.2
22.08484,43.6
22.10484,43.6
22.12484,44
22.14484,44
22.16484,44
22.18484,44
22.20484,44
22.22484,44
22.24484,44
22.26484,44
22.28484,42.4
22.30484,38.4
22.32384,30.8
22.34384,21.6
22.36384,12.4
22.38384,4.8
22.40384,0
22.42384,0
22.44384,0
22.46384,0
22.48384,0
22.50384,0
22.52384,0
22.54384,0
22.56384,0
22.58384,0
22.60384,0
22.62384,0
22.64384,0
22.66384,0
22.68384,0
22.70384,0
22.72384,0
22.74384,0
22.76384,0
22.78384,0
22.80384,0
22.82384,0
22.84384,0
22.86384,0
22.88384,0
22.90384,0
22.92384,0
22.94384,0
22.96384,0
22.98384,0
23.00384,0
23.02384,0
23.04384,0
23.06384,0
23.08384,0
23.10384,0
23.12384,0
23.14384,0
23.16384,0
23.18384,0
23.20384,0
23.22384,0
23.24384,0
23.26384,0
23.28384,0
23.30384,0
23.32384,0
23.34384,0
23.36384,0
23.38384,0
23.40384,0
23.42384,0
23.44384,0
23.46384,0
23.48384,0
23.50384,0
23.52384,0
23.54384,0
23.56384,0
23.58384,0
23.60384,0
23.62384,0
23.64384,0
23.66384,0
23.68384,0
23.70384,0
23.72384,0
23.74384,0
23.76384,0
23.78384,0
23.80384,0
23.82384,0
23.84384,0
23.86384,0
23.88384,0
23.90384,0
23.92384,0
23.94384,0
23.96384,0
23.98384,0
24.00384,0
24.02384,0
24.04284,0
24.06284,0
24.08284,0
24.10284,0
24.12284,0
24.14384,0
24.16384,0
24.18384,0
24.20384,0
24.22384,0
24.24384,0
24.26384,0
24.28384,0
24.30284,0
24.32284,0
24.34284,0
24.36284,0
24.38284,0
24.40284,0
24.42284,0
24.44284,0
24.46284,0
24.48284,0
24.50284,0
24.52284,0
24.54284,0
24.56284,0
24.58284,0
24.60284,0
24.62284,0
24.64284,0
24.66284,0
24.68284,0
24.70284,0
24.72284,0
24.74284,0
24.76284,0
24.78284,0
24.80284,0
24.82284,0
24.84284,0
24.86284,0
24.88284,0
24.90284,0
24.92284,0
24.94284,0
24.96284,0
24.98284,0
25.00284,0
25.02284,0
25.04284,0
25.06284,0
25.08284,0
25.10284,0
25.12284,0
25.14284,0
25.16284,0
25.18284,0
25.20284,0
25.22284,0
25.24284,0
25.26284,0
25.28284,0
25.30284,0
25.32284,0
25.34284,0
25.36184,0
25.38184,0
25.40184,0
25.42184,0
25.44184,0
25.46184,0
25.48184,0
25.50184,0
25.52184,0
25.54184,0
25.56184,0
25.58184,0
25.60184,0
25.62184,0
25.64184,0
25.66184,0
25.68184,0
25.70184,0
25.72184,0
25.74184,0
25.76184,0
25.78184,0
25.80184,0
25.82184,0
25.84184,0
25.86184,0
25.88184,0
25.90184,0
25.92184,0
25.94184,0
25.96184,0
25.98184,0.8
26.00184,3.2
26.02184,5.2
26.04184,6
26.06184,6.4
26.08184,6.8
26.10184,6.8
26.12184,7.6
26.14184,7.6
26.16184,10.4
26.18184,12.4
26.20184,13.2
26.22184,14.8
26.24184,16.4
26.26184,18
26.28184,18.8
26.30184,19.6
26.32184,20.4
26.34184,21.2
26.36184,22
26.38184,22.4
26.40184,22.4
26.42184,22.4
26.44184,22.4
26.46184,23.2
26.48184,24
26.50184,24
26.52184,25.6
26.54184,26.8
26.56184,27.6
26.58184,28
26.60184,28.4
26.62184,28.8
26.64184,29.6
26.66184,30
26.68184,30
26.70184,30.4
26.72184,30.4
26.74184,30.4
26.76184,31.2
26.78184,32
26.80184,32
26.82184,32
26.84084,32
26.86084,32
26.88184,32.8
26.90084,32.8
26.92084,33.2
26.94084,33.2
26.96084,33.6
26.98084,34
27.00084,34
27.02084,34
27.04084,34
27.06084,34.8
27.08084,34.8
27.10084,34.8
27.12084,34.8
27.14084,34.8
27.16084,35.2
27.18084,35.6
27.20084,35.6
27.22084,35.6
27.24084,36
27.26084,36
27.28084,36.4
27.30084,36.4
27.32084,36.8
27.34084,36.8
27.36084,37.6
27.38084,37.6
27.40084,37.6
27.42084,38
27.44084,38
27.46084,38
27.48084,38
27.50084,38.4
27.52084,38.4
27.54084,39.2
27.56084,39.2
27.58084,39.2
27.60084,39.2
27.62084,39.2
27.64084,39.2
27.66084,39.6
27.68084,39.6
27.70084,40
27.72084,40.4
27.74084,40.8
27.76084,40.8
27.78084,41.2
27.80084,41.2
27.82084,42
27.84084,42
27.86084,42
27.88084,42
27.90084,42
27.92084,42.4
27.94084,42.4
27.96084,43.2
27.98084,43.2
28.00084,43.6
28.02084,44
28.04084,44.4
28.06084,44.8
28.08084,45.2
28.10084,45.6
28.12084,46.4
28.14084,46.8
28.16084,48
28.18084,48.8
28.20084,49.2
28.22084,50
28.24084,50
28.26084,51.6
28.28084,52
28.30084,53.2
28.31984,54
28.33984,54.8
28.35984,56
28.38084,56.8
28.39984,57.6
28.41984,58
28.43984,58.4
28.45984,58.8
28.47984,58.8
28.49984,58.8
28.51984,59.6
28.53984,59.6
28.55984,59.6
28.57984,59.6
28.59984,59.6
28.61984,59.6
28.63984,58.8
28.65984,55.6
28.67984,49.2
28.69984,39.2
28.71984,26.8
28.73984,15.2
28.75984,6
28.77984,0
28.79984,0
28.81984,0
28.83984,0
28.85984,0
28.87984,0
28.89984,0
28.91984,0
28.93984,0
28.95984,0
28.97984,0
28.99984,0
29.01984,0
29.03984,0
29.05984,0
29.07984,0
29.09984,0
29.11984,0
29.13984,0
29.15984,0
29.17984,0
29.19984,0
29.21984,0
29.23984,0
29.25984,0
29.27984,0
29.29984,0
29.31984,0
29.33984,0.4
29.35984,2.4
29.37984,4.4
29.39984,7.2
29.41984,10
29.43984,10
29.45984,12.8
29.47984,14.4
29.49984,15.2
29.51984,16.4
29.53984,17.6
29.55984,19.6
29.57984,21.6
29.59984,23.2
29.61984,24.4
29.63984,25.2
29.65984,26
29.67984,26
29.69984,26.8
29.71984,27.2
29.73984,27.2
29.75984,28.4
29.77984,28.8
29.79984,29.6
29.81884,30
29.83884,30.4
29.85884,31.2
29.87884,32
29.89884,32.8
29.91884,33.2
29.93884,34
29.95884,34.8
29.97884,35.6
29.99884,36.4
30.01884,37.2
30.03884,37.2
30.05884,38
30.07884,38.4
30.09884,38.8
30.11884,39.2
30.13884,39.2
30.15884,39.6
30.17884,39.6
30.19884,39.6
30.21884,39.6
30.23884,39.6
30.25884,39.6
30.27884,39.6
30.29884,37.6
30.31884,31.2
30.33884,31.2
30.35884,17.6
30.37884,12
30.39884,5.6
30.41884,0.8
30.43884,0
30.45884,0
30.47884,0
30.49884,0
30.51884,0
30.53884,0
30.55884,0
30.57884,0
30.59884,0
30.61884,0
30.63884,0
30.65884,0
30.67884,0
30.69884,0
30.71884,0
30.73884,0
30.75884,0
30.77884,0
30.79884,0
30.81884,0
30.83884,0
30.85884,0
30.87884,0
30.89884,0
30.91884,0
30.93884,0
30.95884,0
30.97884,0
30.99884,0
31.01884,0
31.03884,0
31.05884,0
31.07884,0
31.09884,0
31.11884,0
31.13884,0
31.15884,0
31.17884,0
31.19884,0
31.21884,0
31.23884,0
31.25884,0
31.27884,0
31.29884,0
31.31884,0
31.33884,0
31.35784,0
31.37784,0
31.39784,0
31.41784,0
31.43784,0
31.45784,0
31.47784,0
31.49784,0
31.51784,0
31.53784,0
31.55784,0
31.57784,0
31.59784,0
31.61784,0
31.63784,0
31.65784,0
31.67784,0
31.69784,0
31.71784,0
31.73784,0
31.75784,0
31.77784,0
31.79784,0
31.81784,0
31.83784,0
31.85784,0
31.87784,0
31.89784,0
31.91784,0
31.93784,0
31.95784,0
31.97784,0
31.99784,0
32.01785,0
32.03785,0
32.05784,0
32.07784,0
32.09784,0
32.11784,0
32.13784,0
32.15784,0
32.17785,0
32.19785,0
32.21784,0
32.23784,0
32.25784,0
32.27784,0
32.29784,0
32.31784,0
32.33784,0
32.35785,0
32.37784,0
32.39784,0
32.41784,0
32.43784,0
32.45784,0
32.47784,0
32.49784,0
32.51785,0
32.53785,0
32.55784,0
32.57784,0
32.59784,0
32.61784,0
32.63784,0
32.65784,0
32.67785,0
32.69785,0
32.71784,0
32.73784,0
32.75784,0
32.77784,0
32.79784,0
32.81784,0
32.83784,0
32.85684,0
32.87684,0
32.89684,0
32.91684,0
32.93684,0
32.95684,0
32.97684,0
32.99685,0
33.01684,0
33.03684,0
33.05684,0
33.07684,0
33.09684,0
33.11684,0
33.13684,0
33.15685,0
33.17685,0
33.19684,0
33.21684,0
33.23684,0
33.25684,0
33.27684,0
33.29684,0
33.31684,0
33.33685,0
33.35684,0
33.37684,0
33.39684,0
33.41684,0
33.43684,0
33.45684,0
33.47684,0
33.49685,0
33.51684,0
33.53684,0
33.55684,0
33.57684,0
33.59684,0
33.61684,0
33.63684,0
33.65685,0
33.67685,0
33.69684,0
33.71684,0
33.73684,0
33.75684,0
33.77684,0
33.79684,0
33.81684,0
33.83685,0
33.85684,0
33.87684,0
33.89684,0
33.91684,0
33.93684,0
33.95684,0
33.97684,0.8
33.99685,3.2
34.01684,5.6
34.03684,7.6
34.05684,9.2
34.07684,10.4
34.09684,10.8
34.11684,10.8
34.13684,11.6
34.15685,11.6
34.17685,13.6
34.19684,16
34.21684,16.4
34.23684,16.4
34.25684,17.6
34.27684,18.8
34.29684,19.6
34.31684,20.4
34.33685,20.4
34.35684,20.8
