"time,AccPedal"
"8.934656,34"
"8.954657,34"
"8.974656,34"
"8.994657,34"
"9.014656,34"
"9.034657,34"
"9.054656,34"
"9.074656,34"
"9.094656,34"
"9.114656,34"
"9.134656,34"
"9.154656,34"
"9.174656,34"
"9.194656,34"
"9.214656,34"
"9.234656,34"
"9.254656,34"
"9.274656,34"
"9.294656,34"
"9.314656,34"
"9.334657,34"
"9.354656,34"
"9.374657,34"
"9.394656,34"
"9.414657,34"
"9.434656,34"
"9.454657,34"
"9.474656,34"
"9.494657,34"
"9.514656,34"
"9.534657,34"
"9.554656,34"
"9.574656,34"
"9.594656,34"
"9.614656,34"
"9.634656,34"
"9.654656,34"
"9.674656,34"
"9.694656,34"
"9.714656,34"
"9.734656,34"
"9.754656,34"
"9.774656,34"
"9.794656,34"
"9.814656,34"
"9.834657,34"
"9.854656,34"
"9.874657,34"
"9.894656,34"
"9.914657,33.6"
"9.934656,33.2"
"9.954657,33.2"
"9.974656,33.2"
"9.994657,32.8"
"10.01466,32.8"
"10.03466,32.4"
"10.05466,32.4"
"10.07466,32"
"10.09466,32"
"10.11466,31.6"
"10.13466,31.6"
"10.15466,31.2"
"10.17466,30.4"
"10.19466,30"
"10.21466,29.6"
"10.23466,29.2"
"10.25466,28.8"
"10.27366,28.4"
"10.29366,28"
"10.31366,27.6"
"10.33366,27.6"
"10.35366,27.2"
"10.37366,26.8"
"10.39366,26.8"
"10.41366,26.8"
"10.43366,26.4"
"10.45366,26.4"
"10.47366,26"
"10.49366,25.6"
"10.51366,25.2"
"10.53366,24.8"
"10.55366,24.4"
"10.57366,24"
"10.59366,23.6"
"10.61366,23.2"
"10.63366,22.8"
"10.65366,22.4"
"10.67366,22.4"
"10.69366,22"
"10.71366,21.6"
"10.73366,21.2"
"10.75366,21.2"
"10.77366,21.2"
"10.79366,20.8"
"10.81366,20.8"
"10.83366,20.8"
"10.85366,20.8"
"10.87366,20.4"
"10.89366,20.4"
"10.91366,20.4"
"10.93366,20.4"
"10.95366,20"
"10.97366,20"
"10.99366,19.6"
"11.01366,19.6"
"11.03366,19.2"
"11.05366,18.8"
"11.07366,18.4"
"11.09366,18.4"
"11.11366,18"
"11.13366,17.2"
"11.15366,16.8"
"11.17366,16.4"
"11.19366,16"
"11.21366,15.6"
"11.23366,15.6"
"11.25366,15.6"
"11.27366,15.6"
"11.29366,15.2"
"11.31366,14.8"
"11.33366,14.8"
"11.35366,14.8"
"11.37366,14.8"
"11.39366,14.8"
"11.41366,14.4"
"11.43366,14.4"
"11.45366,14.4"
"11.47366,14.4"
"11.49366,14.4"
"11.51366,14"
"11.53366,14"
"11.55366,14"
"11.57366,14"
"11.59366,13.6"
"11.61366,13.6"
"11.63366,13.6"
"11.65366,13.2"
"11.67366,13.2"
"11.69366,13.2"
"11.71366,13.2"
"11.73366,13.2"
"11.75366,13.2"
"11.77366,13.2"
"11.79266,13.2"
"11.81266,12.8"
"11.83266,12.8"
"11.85266,12.8"
"11.87266,12.4"
"11.89266,12.4"
"11.91266,12"
"11.93266,12"
"11.95266,11.6"
"11.97266,11.6"
"11.99266,11.6"
"12.01266,11.2"
"12.03266,11.2"
"12.05266,11.2"
"12.07266,10.8"
"12.09266,10.8"
"12.11266,10.8"
"12.13266,10.8"
"12.15266,10.4"
"12.17266,10.4"
"12.19266,10.4"
"12.21266,10.4"
"12.23266,10"
"12.25266,10"
"12.27266,10"
"12.29266,10"
"12.31266,10"
"12.33266,10"
"12.35266,10"
"12.37266,10"
"12.39266,10"
"12.41266,10"
"12.43266,10"
"12.45266,10"
"12.47266,10"
"12.49266,10"
"12.51266,10"
"12.53266,10"
"12.55266,10"
"12.57266,10"
"12.59266,10"
"12.61266,10"
"12.63266,10"
"12.65266,10"
"12.67266,10"
"12.69266,10"
"12.71266,10"
"12.73266,10"
"12.75266,10"
"12.77266,10"
"12.79266,10"
"12.81266,10"
"12.83266,10"
"12.85266,10"
"12.87266,10"
"12.89266,10"
"12.91266,10"
"12.93266,10"
"12.95266,10"
"12.97266,10"
"12.99266,10"
"13.01266,10"
"13.03266,10"
"13.05266,10"
"13.07266,10"
"13.09266,10"
"13.11266,10"
"13.13266,10"
"13.15266,10"
"13.17266,10"
"13.19266,10"
"13.21266,10"
"13.23266,10"
"13.25266,10"
"13.27266,10"
"13.29166,10"
"13.31166,10"
"13.33166,10"
"13.35166,10"
"13.37166,10"
"13.39166,10"
"13.41166,10"
"13.43166,10"
"13.45166,10"
"13.47166,10"
"13.49166,10"
"13.51166,10"
"13.53166,10"
"13.55166,10"
"13.57166,10"
"13.59166,10"
"13.61166,10"
"13.63166,10.4"
"13.65166,10.4"
"13.67166,10.4"
"13.69166,10.4"
"13.71166,10.8"
"13.73166,10.8"
"13.75166,11.2"
"13.77166,11.2"
"13.79166,11.6"
"13.81166,12"
"13.83166,12.4"
"13.85166,12.8"
"13.87166,13.2"
"13.89166,13.6"
"13.91166,13.6"
"13.93166,14"
"13.95166,14"
"13.97166,14"
"13.99166,14.4"
"14.01166,14.8"
"14.03166,15.2"
"14.05166,16"
"14.07166,16.8"
"14.09166,17.2"
"14.11166,18"
"14.13166,18.8"
"14.15166,19.2"
"14.17166,20"
