"time,WheelSpd"
"6.033656,-44.975"
"6.043656,-59.85"
"6.053656,-59.85"
"6.063656,-59.85"
"6.073656,-59.85"
"6.083656,-74.9"
"6.094656,-74.9"
"6.104656,-74.9"
"6.114656,-89.95"
"6.124656,-89.95"
"6.134656,-89.95"
"6.144656,-89.95"
"6.154656,-105"
"6.164656,-89.95"
"6.174656,-119.875"
"6.184656,-119.875"
"6.194656,-119.875"
"6.204656,-119.875"
"6.214656,-134.925"
"6.224656,-149.975"
"6.234656,-134.925"
"6.244656,-134.925"
"6.254656,-134.925"
"6.264656,-149.975"
"6.274656,-134.925"
"6.284656,-134.925"
"6.294656,-149.975"
"6.304656,-149.975"
"6.314656,-134.925"
"6.324656,-134.925"
"6.334656,-134.925"
"6.344656,-134.925"
"6.354656,-134.925"
"6.364656,-134.925"
"6.374656,-134.925"
"6.384656,-134.925"
"6.394656,-119.875"
"6.404656,-134.925"
"6.414656,-119.875"
"6.424656,-119.875"
"6.434656,-134.925"
"6.444656,-119.875"
"6.454656,-119.875"
"6.464656,-119.875"
"6.474656,-119.875"
"6.484656,-105"
"6.495656,-119.875"
"6.505656,-89.95"
"6.515656,-105"
"6.525656,-105"
"6.535656,-105"
"6.545656,-105"
"6.555656,-105"
"6.565656,-105"
"6.575656,-89.95"
"6.585656,-105"
"6.595656,-105"
"6.605656,-119.875"
"6.615656,-119.875"
"6.625656,-105"
"6.635656,-105"
"6.645656,-119.875"
"6.655656,-119.875"
"6.665656,-119.875"
"6.675656,-119.875"
"6.685656,-119.875"
"6.695656,-119.875"
"6.705656,-119.875"
"6.715656,-119.875"
"6.725656,-134.925"
"6.735656,-134.925"
"6.745656,-134.925"
"6.755656,-134.925"
"6.765656,-134.925"
"6.775656,-149.975"
"6.785656,-164.85"
"6.795656,-164.85"
"6.805656,-179.9"
"6.815656,-194.95"
"6.825656,-194.95"
"6.835656,-194.95"
"6.845656,-210"
"6.856656,-224.875"
"6.866656,-224.875"
"6.875656,-239.925"
"6.886656,-239.925"
"6.896656,-254.975"
"6.906656,-239.925"
"6.916656,-239.925"
"6.926656,-239.925"
"6.936656,-254.975"
"6.946656,-254.975"
"6.956656,-239.925"
"6.966656,-239.925"
"6.976656,-239.925"
"6.986656,-224.875"
"6.996656,-210"
"7.006656,-210"
"7.016656,-194.95"
"7.026656,-194.95"
"7.036656,-179.9"
"7.046656,-164.85"
"7.056656,-179.9"
"7.066656,-164.85"
"7.076656,-149.975"
"7.086656,-149.975"
"7.096656,-149.975"
"7.106656,-149.975"
"7.116656,-149.975"
"7.126656,-149.975"
"7.136656,-134.925"
"7.146656,-134.925"
"7.156656,-105"
"7.166656,-134.925"
"7.176656,-119.875"
"7.186656,-119.875"
"7.196656,-105"
"7.207656,-105"
"7.216656,-89.95"
"7.227656,-89.95"
"7.236656,-89.95"
"7.247656,-89.95"
"7.256656,-105"
"7.267656,-74.9"
"7.277656,-89.95"
"7.287656,-89.95"
"7.297656,-89.95"
"7.307656,-89.95"
"7.317656,-105"
"7.327656,-89.95"
"7.337656,-105"
"7.347656,-105"
"7.357656,-89.95"
"7.367656,-105"
"7.377656,-89.95"
"7.387656,-89.95"
"7.397656,-105"
"7.407656,-89.95"
"7.417656,-89.95"
"7.427656,-89.95"
"7.437656,-89.95"
"7.447656,-89.95"
"7.457656,-89.95"
"7.467656,-89.95"
"7.477656,-89.95"
"7.487656,-74.9"
"7.497656,-74.9"
"7.507656,-74.9"
"7.517656,-59.85"
"7.527656,-74.9"
"7.537656,-59.85"
"7.547656,-44.975"
"7.557656,-44.975"
"7.567656,-29.925"
"7.578656,-29.925"
"7.587656,-29.925"
"7.598656,-14.875"
"7.607656,-14.875"
"7.618656,-14.875"
"7.627656,0"
"7.638656,0"
"7.648656,0"
"7.658656,0"
"7.668656,0"
"7.678656,0"
"7.688656,0"
"7.698656,0"
"7.708656,0"
"7.718656,0"
"7.728656,0"
"7.738656,0"
"7.748656,0"
"7.758656,0"
"7.768656,0"
"7.778656,0"
"7.788656,0"
"7.798656,0"
"7.808656,0"
"7.818656,0"
"7.828656,0"
"7.838656,0"
"7.848656,0"
"7.858656,0"
"7.868656,0"
"7.878656,0"
"7.888656,0"
"7.898656,0"
"7.908656,0"
"7.918656,0"
"7.928656,0"
"7.938656,0"
"7.948656,0"
"7.958656,0"
"7.968656,0"
"7.978656,0"
"7.988656,0"
"7.998656,0"
"8.008657,0"
"8.018656,0"
"8.028656,0"
"8.039657,0"
"8.049656,0"
"8.059656,0"
"8.069656,0"
"8.079657,0"
"8.089656,0"
"8.099656,0"
"8.109656,0"
"8.119657,0"
"8.129656,0"
"8.139656,0"
"8.149656,0"
"8.159657,0"
"8.169656,0"
"8.179656,0"
"8.189656,0"
"8.199656,0"
"8.209657,0"
"8.219656,0"
"8.229656,0"
"8.239656,0"
"8.249657,0"
"8.259656,0"
"8.269656,0"
"8.279656,0"
"8.289657,0"
"8.299656,0"
"8.309656,14.875"
"8.319656,14.875"
"8.329657,14.875"
"8.339656,14.875"
"8.349656,29.925"
"8.359656,29.925"
"8.369657,29.925"
"8.379656,29.925"
"8.389656,29.925"
"8.399656,29.925"
"8.409657,14.875"
"8.419656,14.875"
"8.430656,14.875"
"8.440657,14.875"
"8.450656,0"
"8.460656,0"
"8.470656,14.875"
"8.480657,14.875"
"8.490656,14.875"
"8.500656,14.875"
"8.510656,14.875"
"8.520657,29.925"
"8.530656,29.925"
"8.540656,29.925"
"8.550656,44.975"
"8.560657,44.975"
"8.570656,29.925"
"8.580656,44.975"
"8.590656,59.85"
"8.600657,59.85"
"8.610656,74.9"
"8.620656,59.85"
"8.630656,74.9"
"8.640656,74.9"
"8.650657,74.9"
"8.660656,74.9"
"8.670656,74.9"
"8.680656,74.9"
"8.690657,74.9"
"8.700656,74.9"
"8.710656,59.85"
"8.720656,74.9"
"8.730657,59.85"
"8.740656,59.85"
"8.750656,59.85"
"8.760656,59.85"
"8.770657,59.85"
"8.780656,59.85"
"8.791656,59.85"
"8.800656,59.85"
"8.811656,59.85"
"8.821656,59.85"
"8.831656,59.85"
"8.841657,59.85"
"8.851656,59.85"
"8.861656,59.85"
"8.871656,74.9"
"8.881657,59.85"
"8.891656,44.975"
"8.901656,59.85"
"8.911656,74.9"
"8.921657,59.85"
"8.931656,74.9"
"8.941656,74.9"
"8.951656,74.9"
"8.961657,74.9"
"8.971656,74.9"
"8.981656,89.95"
"8.991656,89.95"
"9.001657,74.9"
"9.011656,74.9"
"9.021656,74.9"
"9.031656,74.9"
"9.041656,74.9"
"9.051657,74.9"
"9.061656,74.9"
"9.071656,74.9"
"9.081656,74.9"
"9.091657,74.9"
"9.101656,89.95"
"9.111656,74.9"
"9.122656,89.95"
"9.131657,74.9"
"9.141656,89.95"
"9.151656,89.95"
"9.162656,105"
"9.172656,89.95"
"9.182656,89.95"
"9.192657,89.95"
"9.202656,89.95"
"9.212656,89.95"
"9.222656,89.95"
"9.232656,105"
"9.242657,89.95"
"9.252656,89.95"
"9.262656,74.9"
"9.272656,89.95"
"9.282657,74.9"
"9.292656,89.95"
"9.302656,74.9"
"9.312656,89.95"
"9.322657,74.9"
"9.332656,74.9"
"9.342656,74.9"
"9.352656,59.85"
"9.362657,74.9"
"9.372656,59.85"
"9.382656,59.85"
"9.392656,59.85"
"9.402657,59.85"
"9.412656,59.85"
"9.422656,59.85"
"9.432656,44.975"
"9.442657,59.85"
"9.452656,59.85"
"9.462656,59.85"
"9.472656,59.85"
"9.482656,74.9"
"9.492657,59.85"
"9.502656,74.9"
"9.512656,74.9"
"9.523656,89.95"
"9.532657,89.95"
"9.542656,89.95"
"9.552656,105"
"9.563656,105"
"9.572657,119.875"
"9.583656,119.875"
"9.593657,134.925"
"9.603656,134.925"
"9.613656,134.925"
"9.623656,134.925"
"9.633657,149.975"
"9.643656,149.975"
"9.653656,149.975"
"9.663656,164.85"
"9.673656,164.85"
"9.683657,164.85"
"9.693656,179.9"
"9.703656,179.9"
"9.713656,194.95"
"9.723657,194.95"
"9.733656,194.95"
"9.743656,210"
"9.753656,210"
"9.763657,210"
"9.773656,224.875"
"9.783656,224.875"
"9.793656,224.875"
"9.803657,239.925"
"9.813656,224.875"
"9.823656,239.925"
"9.833656,239.925"
"9.843657,239.925"
"9.853656,254.975"
"9.863656,239.925"
"9.873656,224.875"
"9.883657,239.925"
"9.893656,224.875"
"9.903656,224.875"
"9.913656,224.875"
"9.923656,210"
"9.933657,210"
"9.943656,210"
"9.953656,194.95"
"9.963656,194.95"
"9.973657,210"
"9.984656,194.95"
"9.994657,194.95"
"10.00466,164.85"
"10.01466,164.85"
"10.02466,179.9"
"10.03466,164.85"
"10.04466,149.975"
"10.05466,149.975"
"10.06466,134.925"
"10.07466,134.925"
"10.08466,119.875"
"10.09466,119.875"
"10.10466,119.875"
"10.11466,119.875"
"10.12466,105"
"10.13466,105"
"10.14466,105"
"10.15466,89.95"
"10.16466,105"
"10.17466,74.9"
"10.18466,89.95"
"10.19466,74.9"
"10.20466,74.9"
"10.21466,74.9"
"10.22466,59.85"
"10.23466,59.85"
"10.24466,44.975"
"10.25466,59.85"
"10.26466,44.975"
"10.27466,59.85"
"10.28466,44.975"
"10.29466,44.975"
"10.30466,44.975"
"10.31466,29.925"
"10.32466,29.925"
"10.33466,44.975"
"10.34466,44.975"
"10.35466,29.925"
"10.36466,29.925"
"10.37566,14.875"
"10.38566,14.875"
"10.39566,14.875"
"10.40566,14.875"
"10.41566,14.875"
"10.42566,14.875"
"10.43566,0"
"10.44566,14.875"
"10.45566,14.875"
"10.46566,14.875"
"10.47566,14.875"
"10.48566,14.875"
"10.49566,14.875"
"10.50566,14.875"
"10.51566,14.875"
"10.52566,14.875"
"10.53566,14.875"
"10.54566,0"
"10.55566,0"
"10.56566,0"
"10.57566,14.875"
"10.58566,14.875"
"10.59566,14.875"
"10.60566,14.875"
"10.61566,29.925"
"10.62566,29.925"
"10.63566,44.975"
"10.64566,44.975"
"10.65566,59.85"
"10.66566,59.85"
"10.67566,44.975"
"10.68566,59.85"
"10.69566,59.85"
"10.70566,59.85"
"10.71566,59.85"
"10.72566,59.85"
"10.73566,59.85"
"10.74566,59.85"
"10.75566,44.975"
"10.76666,44.975"
"10.77666,59.85"
"10.78666,44.975"
"10.79666,44.975"
"10.80666,44.975"
"10.81666,29.925"
"10.82666,44.975"
"10.83666,29.925"
"10.84666,29.925"
"10.85666,29.925"
"10.86666,29.925"
"10.87666,14.875"
"10.88666,14.875"
"10.89666,14.875"
"10.90666,14.875"
"10.91666,14.875"
"10.92666,0"
"10.93666,0"
"10.94666,0"
"10.95666,0"
"10.96666,0"
"10.97666,14.875"
"10.98666,14.875"
"10.99666,14.875"
"11.00666,14.875"
"11.01666,14.875"
"11.02666,14.875"
"11.03666,14.875"
"11.04666,14.875"
"11.05666,14.875"
"11.06666,14.875"
"11.07666,0"
"11.08666,0"
"11.09666,0"
"11.10666,0"
"11.11666,0"
"11.12666,0"
"11.13666,0"
"11.14666,0"
"11.15766,0"
"11.16766,0"
"11.17766,0"
"11.18766,0"
"11.19766,0"
"11.20766,0"
"11.21766,0"
"11.22766,0"
"11.23766,0"
"11.24766,0"
"11.25766,0"
"11.26766,0"
"11.27766,0"
"11.28766,0"
"11.29766,0"
"11.30766,14.875"
"11.31766,14.875"
"11.32766,14.875"
"11.33766,14.875"
"11.34766,14.875"
"11.35766,14.875"
"11.36766,14.875"
"11.37766,14.875"
"11.38766,14.875"
"11.39766,14.875"
"11.40766,0"
"11.41766,0"
"11.42766,0"
"11.43766,0"
"11.44766,0"
"11.45766,0"
"11.46766,0"
"11.47766,0"
"11.48766,0"
"11.49766,0"
"11.50766,0"
"11.51866,0"
"11.52866,0"
"11.53866,0"
"11.54866,0"
"11.55866,0"
"11.56866,0"
"11.57866,0"
"11.58866,0"
"11.59866,0"
"11.60866,0"
"11.61866,0"
"11.62866,0"
"11.63866,0"
"11.64866,0"
"11.65866,0"
"11.66866,0"
"11.67866,0"
"11.68866,0"
"11.69866,0"
"11.70866,0"
"11.71866,0"
"11.72866,0"
"11.73866,0"
"11.74866,0"
"11.75866,0"
"11.76866,0"
"11.77866,0"
"11.78866,0"
"11.79866,0"
"11.80866,0"
"11.81866,0"
"11.82866,0"
"11.83866,0"
"11.84866,0"
"11.85866,0"
"11.86866,0"
"11.87866,0"
"11.88966,0"
"11.89866,0"
"11.90866,0"
"11.91966,0"
"11.92866,0"
"11.93966,0"
"11.94966,0"
"11.95966,0"
"11.96966,0"
"11.97966,0"
"11.98966,0"
"11.99966,0"
"12.00966,0"
"12.01966,0"
"12.02966,0"
"12.03966,0"
"12.04966,0"
"12.05966,0"
"12.06966,0"
"12.07966,14.875"
"12.08966,14.875"
"12.09966,14.875"
"12.10966,14.875"
"12.11966,14.875"
"12.12966,14.875"
"12.13966,14.875"
"12.14966,14.875"
"12.15966,14.875"
"12.16966,14.875"
"12.17966,14.875"
"12.18966,14.875"
"12.19966,14.875"
"12.20966,14.875"
"12.21966,14.875"
"12.22966,14.875"
"12.23966,14.875"
"12.24966,14.875"
"12.25966,14.875"
"12.26966,14.875"
"12.27966,0"
"12.28966,0"
"12.29966,0"
"12.30966,0"
"12.32066,0"
"12.33066,0"
"12.34066,0"
"12.35066,0"
"12.36066,0"
"12.37066,0"
"12.38066,0"
"12.39066,0"
"12.40066,0"
"12.41066,0"
"12.42066,0"
"12.43066,0"
"12.44066,0"
"12.45066,0"
"12.46066,0"
"12.47066,0"
"12.48066,0"
"12.49066,0"
"12.50066,0"
"12.51066,0"
"12.52066,0"
"12.53066,0"
"12.54066,0"
"12.55066,0"
"12.56066,0"
"12.57066,0"
"12.58066,0"
"12.59066,14.875"
"12.60066,14.875"
"12.61066,14.875"
"12.62066,14.875"
"12.63066,14.875"
"12.64066,14.875"
"12.65166,14.875"
"12.66166,14.875"
"12.67066,14.875"
"12.68066,14.875"
"12.69066,0"
"12.70166,0"
"12.71166,0"
"12.72166,0"
"12.73166,0"
"12.74166,0"
"12.75166,0"
"12.76166,0"
"12.77166,0"
"12.78166,0"
"12.79166,0"
"12.80166,0"
"12.81166,0"
"12.82166,0"
"12.83166,0"
"12.84166,0"
"12.85166,0"
"12.86166,0"
"12.87166,0"
"12.88166,0"
"12.89166,0"
"12.90166,0"
"12.91166,0"
"12.92166,0"
"12.93166,14.875"
"12.94166,14.875"
"12.95166,14.875"
"12.96166,14.875"
"12.97166,14.875"
"12.98166,14.875"
"12.99166,14.875"
"13.00166,14.875"
"13.01166,14.875"
"13.02266,29.925"
"13.03166,14.875"
"13.04166,29.925"
"13.05166,29.925"
"13.06266,29.925"
"13.07266,44.975"
"13.08266,44.975"
"13.09266,44.975"
"13.10266,59.85"
