"time,FuelTank"
"14.10166,52"
"14.12066,52"
"14.14166,52"
"14.16066,52"
"14.18166,52"
"14.20066,52"
"14.22066,52"
"14.24166,52"
"14.26066,52"
"14.28166,52"
"14.30166,52"
"14.32066,52"
"14.34166,52"
"14.36166,52"
"14.38166,52"
"14.40166,52"
"14.42166,52"
"14.44166,52"
"14.46066,52"
"14.48166,52"
"14.50166,52"
"14.52066,52"
"14.54166,52"
"14.56066,52"
"14.58066,52"
"14.60166,52"
"14.62066,52"
"14.64166,52"
"14.66066,52"
"14.68066,52"
"14.70166,52"
"14.72066,52"
"14.74166,52"
"14.76066,52"
"14.78066,52"
"14.80166,52"
"14.82066,52"
"14.84166,52"
"14.86066,52"
"14.88066,52"
"14.90166,52"
"14.92066,52"
"14.94166,52"
"14.96066,52"
"14.98166,52"
"15.00166,52"
"15.02066,52"
"15.04166,52"
"15.06066,52"
"15.08066,52"
"15.10166,52"
"15.12066,52"
"15.14166,52"
"15.16066,52"
"15.18166,52"
"15.20166,52"
"15.22066,52"
"15.24166,52"
"15.26066,52"
"15.28166,52"
"15.30166,52"
"15.32066,52"
"15.34166,52"
"15.36066,52"
"15.38066,52"
"15.40166,52"
"15.42066,52"
"15.44166,52"
"15.46066,52"
"15.48066,52"
"15.50166,52"
"15.52066,52"
"15.54166,52"
"15.56066,52"
"15.58066,52"
"15.60066,52"
"15.62066,52"
"15.64166,52"
"15.66066,52"
"15.68066,52"
"15.70166,52"
"15.72066,52"
"15.74166,52"
"15.76066,52"
"15.78166,52"
"15.80166,52"
"15.82166,52"
"15.84166,52"
"15.86166,52"
"15.88166,52"
"15.90166,52"
"15.92166,52"
"15.94166,52"
"15.96166,52"
"15.98166,52"
"16.00166,52"
"16.02066,52"
"16.04166,52"
"16.06066,52"
"16.08066,52"
"16.10166,52"
"16.12066,52"
"16.14166,52"
"16.16066,52"
"16.18066,52"
"16.20166,52"
"16.22066,52"
"16.24166,52"
"16.26066,52"
"16.28166,52"
"16.30166,52"
"16.32066,52"
"16.34166,52"
"16.36066,52"
"16.38066,52"
"16.40166,52"
"16.42066,52"
"16.44166,52"
"16.46066,52"
"16.48166,52"
"16.50166,52"
"16.52166,52"
"16.54166,52"
"16.56066,52"
"16.58166,52"
"16.60066,52"
"16.62066,52"
"16.64166,52"
"16.66066,52"
"16.68066,52"
"16.70166,52"
"16.72066,52"
"16.74166,52"
"16.76166,52"
"16.78166,52"
"16.80066,52"
"16.82166,52"
"16.84166,52"
"16.86066,52"
"16.88166,52"
"16.90066,52"
"16.92066,52"
"16.94166,52"
"16.96066,52"
"16.98066,52"
"17.00166,52"
"17.02066,52"
"17.04166,52"
"17.06066,52"
"17.08066,52"
"17.10066,52"
"17.12066,52"
"17.14166,52"
"17.16066,52"
"17.18066,52"
"17.20166,52"
"17.22066,52"
"17.24166,52"
"17.26066,52"
"17.28066,52"
"17.30166,52"
"17.32066,52"
"17.34166,52"
"17.36066,52"
"17.38066,52"
"17.40166,52"
"17.42066,52"
"17.44166,52"
"17.46066,52"
"17.48166,52"
"17.50166,52"
"17.52066,52"
"17.54166,52"
"17.56066,52"
"17.58166,52"
"17.60166,52"
"17.62066,52"
"17.64166,52"
"17.66066,52"
"17.68066,52"
"17.70166,52"
"17.72066,52"
"17.74166,52"
"17.76066,52"
"17.78066,52"
"17.80166,52"
"17.82066,52"
"17.84166,52"
"17.86066,52"
"17.88066,52"
"17.90166,52"
"17.92066,52"
"17.94166,52"
"17.96066,52"
"17.98066,52"
"18.00066,52"
"18.02066,52"
"18.04166,52"
"18.06066,52"
"18.08066,52"
"18.10166,52"
"18.12066,52"
"18.14166,52"
"18.16066,52"
"18.18066,52"
"18.20166,52"
"18.22066,52"
"18.24166,52"
"18.26166,52"
"18.28166,52"
"18.30166,52"
"18.32166,52"
"18.34166,52"
"18.36166,52"
"18.38166,52"
"18.40166,52"
"18.42166,52"
"18.44166,52"
"18.46066,52"
"18.48166,52"
"18.50166,52"
"18.52066,52"
"18.54066,52"
"18.56066,52"
"18.58066,52"
"18.60166,52"
"18.62066,52"
"18.64166,52"
"18.66066,52"
"18.68166,52"
"18.70166,52"
"18.72066,52"
"18.74166,52"
"18.76066,52"
"18.78066,52"
"18.80166,52"
"18.82066,52"
"18.84166,52"
"18.86066,52"
"18.88166,52"
"18.90166,52"
"18.92166,52"
"18.94166,52"
"18.96166,52"
"18.98166,52"
"19.00166,52"
"19.02066,52"
"19.04166,52"
"19.06166,52"
"19.08166,52"
"19.10166,52"
"19.12066,52"
"19.14166,52"
"19.16166,52"
"19.18066,52"
"19.20166,52"
"19.22166,52"
"19.24166,52"
"19.26066,52"
"19.28066,52"
"19.30166,52"
"19.32066,52"
"19.34166,52"
"19.36066,52"
"19.38066,52"
"19.40166,52"
"19.42066,52"
"19.44166,52"
"19.46066,52"
"19.48066,52"
"19.50166,52"
"19.52066,52"
"19.54166,52"
"19.56066,52"
"19.58166,52"
"19.60166,52"
"19.62066,52"
"19.64166,52"
"19.66066,52"
"19.68166,52"
"19.70166,52"
"19.72166,52"
"19.74166,52"
"19.76166,52"
"19.78066,52"
"19.80166,52"
"19.82166,52"
"19.84166,52"
"19.86166,52"
"19.88166,52"
"19.90166,52"
"19.92066,52"
"19.94166,52"
"19.96166,52"
"19.98166,52"
"20.00166,52"
"20.02066,52"
"20.04166,52"
"20.06066,52"
"20.08066,52"
"20.10166,52"
"20.12066,52"
"20.14166,52"
"20.16066,52"
"20.18066,52"
"20.20166,52"
"20.22066,52"
"20.24166,52"
"20.26066,52"
"20.28066,52"
"20.30166,52"
"20.32066,52"
"20.34166,52"
"20.36066,52"
"20.38166,52"
"20.40166,52"
"20.42166,52"
"20.44166,52"
"20.46066,52"
"20.48166,52"
"20.50066,52"
"20.52066,52"
"20.54166,52"
"20.56066,52"
"20.58066,52"
"20.60166,52"
"20.62066,52"
"20.64166,52"
"20.66166,52"
"20.68066,52"
"20.70266,52"
"20.72066,52"
"20.74166,52"
"20.76066,52"
"20.78166,52"
"20.80066,52"
"20.82066,52"
"20.84166,52"
"20.86066,52"
"20.88066,52"
"20.90166,52"
"20.92066,52"
"20.94166,52"
"20.96066,52"
"20.98066,52"
"21.00066,52"
"21.02066,52"
"21.04166,52"
"21.06066,52"
"21.08166,52"
"21.10166,52"
"21.12066,52"
"21.14166,52"
"21.16066,52"
"21.18066,52"
"21.20166,52"
"21.22066,52"
