"time,SpeedCom"
"10.26066,27.38"
"10.28166,27.45"
"10.30166,27.45"
"10.32066,27.55"
"10.34166,27.66"
"10.36166,27.59"
"10.38166,27.63"
"10.40166,27.63"
"10.42166,27.77"
"10.44166,27.74"
"10.46166,27.74"
"10.48166,27.76"
"10.50166,27.76"
"10.52166,27.92"
"10.54166,27.87"
"10.56166,28.08"
"10.58166,28.01"
"10.60166,28.01"
"10.62066,27.98"
"10.64166,27.77"
"10.66066,27.91"
"10.68066,27.96"
"10.70166,27.96"
"10.72066,27.94"
"10.74166,27.83"
"10.76066,27.92"
"10.78166,27.87"
"10.80166,27.87"
"10.82066,27.71"
"10.84166,27.88"
"10.86066,27.91"
"10.88166,27.87"
"10.90066,27.87"
"10.92066,27.81"
"10.94166,27.98"
"10.96066,27.84"
"10.98166,27.88"
"11.00166,27.88"
"11.02066,27.99"
"11.04166,27.85"
"11.06066,28.02"
"11.08066,27.96"
"11.10166,27.94"
"11.12166,27.94"
"11.14166,27.98"
"11.16066,27.94"
"11.18166,28.02"
"11.20166,27.89"
"11.22066,27.89"
"11.24166,27.89"
"11.26066,27.83"
"11.28166,27.71"
"11.30166,27.85"
"11.32066,27.85"
"11.34166,27.84"
"11.36166,27.81"
"11.38166,27.66"
"11.40166,27.67"
"11.42066,27.67"
"11.44166,27.67"
"11.46066,27.6"
"11.48066,27.45"
"11.50166,27.45"
"11.52066,27.46"
"11.54166,27.63"
"11.56066,27.48"
"11.58066,27.46"
"11.60166,27.32"
"11.62066,27.32"
"11.64166,27.5"
"11.66066,27.29"
"11.68066,27.29"
"11.70166,27.28"
"11.72066,27.28"
"11.74166,27.27"
"11.76066,27.16"
"11.78166,27.23"
"11.80266,27.07"
"11.82066,27.07"
"11.84166,27.11"
"11.86066,27"
"11.88166,26.94"
"11.90166,26.97"
"11.92166,26.97"
"11.94166,26.83"
"11.96166,26.86"
"11.98166,26.62"
"12.00166,26.62"
"12.02166,26.62"
"12.04166,26.59"
"12.06166,26.41"
"12.08166,26.48"
"12.10166,26.48"
"12.12166,26.44"
"12.14166,26.28"
"12.16166,26.27"
"12.18166,26.23"
"12.20166,26.23"
"12.22066,26.16"
"12.24166,26.24"
"12.26066,26.13"
"12.28166,26.02"
"12.30166,26.02"
"12.32066,26.12"
"12.34166,26.13"
"12.36066,25.91"
"12.38166,26.1"
"12.40166,25.91"
"12.42066,25.91"
"12.44166,25.86"
"12.46066,25.78"
"12.48066,25.71"
"12.50166,25.71"
"12.52066,25.85"
"12.54166,25.61"
"12.56066,25.63"
"12.58166,25.48"
"12.60166,25.38"
"12.62166,25.38"
"12.64166,25.43"
"12.66066,25.4"
"12.68166,25.29"
"12.70166,25.29"
"12.72166,25.27"
"12.74166,25.26"
"12.76166,25.15"
"12.78166,25.09"
"12.80166,25.01"
"12.82166,25.01"
"12.84166,25.08"
"12.86166,24.96"
"12.88166,24.91"
"12.90166,24.91"
"12.92166,24.95"
"12.94166,24.94"
"12.96166,24.85"
"12.98166,24.76"
"13.00166,24.76"
"13.02066,24.77"
"13.04166,24.71"
"13.06066,24.63"
"13.08166,24.48"
"13.10166,24.52"
"13.12066,24.52"
"13.14166,24.48"
"13.16066,24.43"
"13.18066,24.36"
"13.20066,24.36"
"13.22066,24.41"
"13.24166,24.34"
"13.26066,24.3"
"13.28166,24.34"
"13.30166,24.25"
"13.32066,24.25"
"13.34166,24.18"
"13.36066,24"
"13.38066,24.04"
"13.40166,24.04"
"13.42066,24.04"
"13.44166,24"
"13.46166,24.16"
"13.48166,24.21"
"13.50166,24.21"
"13.52166,23.97"
"13.54166,23.95"
"13.56166,24.04"
"13.58166,23.88"
"13.60166,23.76"
"13.62166,23.76"
"13.64166,23.84"
"13.66166,23.65"
"13.68166,23.72"
"13.70166,23.72"
"13.72166,23.72"
"13.74166,23.65"
"13.76166,23.63"
"13.78066,23.59"
"13.80166,23.59"
"13.82066,23.66"
"13.84166,23.76"
"13.86066,23.44"
"13.88066,23.53"
"13.90066,23.53"
"13.92066,23.41"
"13.94166,23.39"
"13.96066,23.1"
"13.98166,23.27"
"14.00066,23.27"
"14.02066,23.41"
"14.04166,23.14"
"14.06066,23.48"
"14.08066,23.45"
"14.10166,23.3"
"14.12066,23.3"
"14.14166,23.49"
"14.16066,23.42"
"14.18166,23.44"
"14.20066,23.44"
"14.22066,23.44"
"14.24166,23.44"
"14.26066,23.44"
"14.28166,23.46"
"14.30166,23.52"
"14.32066,23.52"
"14.34166,23.46"
"14.36166,23.7"
"14.38166,23.69"
"14.40166,23.72"
"14.42166,23.72"
"14.44166,23.72"
"14.46066,23.66"
"14.48166,23.7"
"14.50166,23.7"
"14.52066,23.69"
"14.54166,23.8"
"14.56066,23.63"
"14.58066,23.53"
"14.60166,23.6"
"14.62066,23.6"
"14.64166,23.56"
"14.66066,23.44"
"14.68066,23.48"
"14.70166,23.52"
"14.72066,23.52"
"14.74166,23.44"
"14.76066,23.69"
"14.78066,23.59"
"14.80166,23.69"
"14.82066,23.69"
"14.84166,23.65"
"14.86066,23.77"
"14.88066,23.69"
"14.90166,23.83"
"14.92066,23.83"
"14.94166,23.77"
"14.96066,23.8"
"14.98166,23.81"
"15.00166,23.81"
"15.02066,23.93"
"15.04166,23.93"
"15.06066,23.94"
"15.08066,23.87"
"15.10166,23.97"
"15.12066,23.97"
"15.14166,23.93"
"15.16066,24.05"
"15.18166,24.07"
"15.20166,24.32"
"15.22066,24.32"
"15.24166,24.25"
"15.26066,24.27"
"15.28166,24.38"
"15.30166,24.52"
"15.32066,24.52"
"15.34166,24.6"
"15.36066,24.77"
"15.38066,24.73"
"15.40166,24.77"
"15.42066,24.77"
"15.44166,24.94"
"15.46066,24.95"
"15.48066,25.03"
"15.50166,25.03"
"15.52066,25.01"
"15.54166,25.16"
"15.56066,25.23"
"15.58066,25.36"
"15.60066,25.36"
"15.62066,25.37"
"15.64166,25.55"
"15.66066,25.61"
"15.68066,25.72"
"15.70166,25.72"
"15.72066,25.79"
"15.74166,25.98"
"15.76066,25.96"
"15.78166,25.85"
"15.80166,25.85"
"15.82166,26"
"15.84166,25.98"
"15.86166,26.2"
"15.88166,26.16"
"15.90166,26.16"
"15.92166,26.34"
"15.94166,26.49"
"15.96166,26.74"
"15.98166,26.88"
"16.00166,26.88"
"16.02066,27.08"
"16.04166,27.05"
"16.06066,27.41"
"16.08066,27.28"
"16.10166,27.28"
"16.12066,27.35"
"16.14166,27.43"
"16.16066,27.64"
"16.18066,27.74"
"16.20166,27.74"
"16.22066,28.01"
"16.24166,27.99"
"16.26066,28.06"
"16.28166,28.15"
"16.30166,28.16"
"16.32066,28.16"
"16.34166,28.22"
"16.36066,28.4"
"16.38066,28.47"
"16.40166,28.48"
"16.42066,28.48"
"16.44166,28.55"
"16.46066,28.89"
"16.48166,28.96"
"16.50166,28.96"
"16.52166,29.05"
"16.54166,29.07"
"16.56066,29.26"
"16.58166,29.13"
"16.60066,29.13"
"16.62066,29.37"
"16.64166,29.46"
"16.66066,29.55"
"16.68066,29.65"
"16.70166,29.62"
"16.72066,29.62"
"16.74166,29.76"
"16.76166,29.86"
"16.78166,29.88"
"16.80066,29.88"
"16.82166,29.84"
"16.84166,29.93"
"16.86066,30.04"
"16.88166,30.15"
"16.90066,30.15"
"16.92066,30.16"
"16.94166,30.36"
"16.96066,30.39"
"16.98066,30.36"
"17.00166,30.36"
"17.02066,30.45"
"17.04166,30.43"
"17.06066,30.46"
"17.08066,30.55"
"17.10066,30.55"
"17.12066,30.6"
"17.14166,30.7"
"17.16066,30.9"
"17.18066,30.95"
"17.20166,30.85"
"17.22066,30.85"
"17.24166,30.94"
"17.26066,30.84"
"17.28066,31.13"
"17.30166,31.13"
"17.32066,31.19"
"17.34166,30.8"
"17.36066,31.23"
"17.38066,31.27"
"17.40166,31.27"
"17.42066,31.33"
"17.44166,31.33"
"17.46066,31.47"
"17.48166,31.45"
"17.50166,31.45"
"17.52066,31.55"
"17.54166,31.5"
"17.56066,31.4"
"17.58166,31.63"
"17.60166,31.73"
"17.62066,31.73"
"17.64166,31.96"
"17.66066,31.93"
"17.68066,32"
"17.70166,31.85"
"17.72066,31.85"
"17.74166,31.93"
"17.76066,31.98"
"17.78066,31.98"
"17.80166,32.09"
"17.82066,32.09"
"17.84166,32.03"
"17.86066,32.24"
"17.88066,32.1"
"17.90166,32.24"
"17.92066,32.24"
"17.94166,32.23"
