"time,DegOfDev"
"9.79975,17.39"
"9.81875,16.85"
"9.83875,16.25"
"9.85875,15.82"
"9.87875,14.99"
"9.89875,14.37"
"9.91875,13.78"
"9.93875,13.18"
"9.95875,12.44"
"9.97875,11.8"
"9.99975,11.12"
"10.01875,10.48"
"10.03875,9.78"
"10.05875,9.15"
"10.07875,8.45"
"10.09875,7.9"
"10.11875,7.41"
"10.13875,6.98"
"10.15875,6.49"
"10.17875,6.26"
"10.19975,5.92"
"10.21875,5.6"
"10.23875,5.4"
"10.25875,5.25"
"10.27975,5.07"
"10.29875,4.94"
"10.31875,4.88"
"10.33875,4.75"
"10.35875,4.63"
"10.37875,4.54"
"10.39875,4.49"
"10.41875,4.28"
"10.43875,4.14"
"10.45875,4.17"
"10.47875,4.13"
"10.49875,4.06"
"10.51875,3.96"
"10.53875,3.91"
"10.55875,3.82"
"10.57875,3.76"
"10.59875,3.7"
"10.61875,3.8"
"10.63875,3.87"
"10.65875,3.74"
"10.67875,3.63"
"10.69875,3.64"
"10.71875,3.51"
"10.73875,3.37"
"10.75875,3.22"
"10.77875,3.03"
"10.79875,2.79"
"10.81875,2.59"
"10.83875,2.27"
"10.85875,2.05"
"10.87875,1.8"
"10.89875,1.57"
"10.91875,1.41"
"10.93875,1.26"
"10.95875,1.18"
"10.97875,1.17"
"10.99875,1.32"
"11.01875,1.54"
"11.03875,1.64"
"11.05875,1.77"
"11.07875,1.92"
"11.09875,1.85"
"11.11875,1.84"
"11.13875,1.79"
"11.15875,1.67"
"11.17875,1.54"
"11.19875,1.52"
"11.21875,1.51"
"11.23875,1.39"
"11.25875,1.43"
"11.27875,1.5"
"11.29875,1.53"
"11.31875,1.55"
"11.33875,1.51"
"11.35875,1.39"
"11.37875,1.34"
"11.39875,1.19"
"11.41875,1.06"
"11.43875,1.12"
"11.45875,1.03"
"11.47875,0.99"
"11.49875,0.97"
"11.51875,0.97"
"11.53875,1.02"
"11.55875,1.14"
"11.57875,1.3"
"11.59875,1.32"
"11.61875,1.34"
"11.63875,1.39"
"11.65875,1.34"
"11.67875,1.35"
"11.69875,1.34"
"11.71875,1.3"
"11.73875,1.18"
"11.75875,1.13"
"11.77875,1.08"
"11.79875,1.01"
"11.81875,1.1"
"11.83875,1.17"
"11.85875,1.17"
"11.87875,1.25"
"11.89875,1.26"
"11.91875,1.32"
"11.93875,1.3"
"11.95875,1.34"
"11.97875,1.29"
"11.99875,1.21"
"12.01875,1.17"
"12.03875,1.11"
"12.05875,1.12"
"12.07875,1.01"
"12.09875,1.13"
"12.11875,1.04"
"12.13875,1.02"
"12.15875,1.13"
"12.17875,1.11"
"12.19875,1.13"
"12.21875,1.17"
"12.23875,1.17"
"12.25875,1.17"
"12.27875,1.09"
"12.29875,1.06"
"12.31875,1.07"
"12.33875,1.04"
"12.35875,1.09"
"12.37875,1.04"
"12.39875,1"
"12.41875,1.04"
"12.43875,1.02"
"12.45875,0.98"
"12.47875,0.86"
"12.49875,0.83"
"12.51875,0.81"
"12.53875,0.73"
"12.55875,0.77"
"12.57875,0.83"
"12.59875,0.93"
"12.61875,0.92"
"12.63875,0.97"
"12.65875,0.95"
"12.67875,0.82"
"12.69875,0.83"
"12.71875,0.73"
"12.73875,0.68"
"12.75875,0.7"
"12.77875,0.74"
"12.79875,0.74"
"12.81875,0.67"
"12.83875,0.7"
"12.85875,0.66"
"12.87875,0.74"
"12.89875,0.82"
"12.91875,0.75"
"12.93875,0.77"
"12.95875,0.83"
"12.97875,0.77"
"12.99875,0.79"
"13.01875,0.76"
"13.03875,0.71"
"13.05875,0.72"
"13.07875,0.57"
"13.09875,0.52"
"13.11875,0.42"
"13.13875,0.34"
"13.15875,0.28"
"13.17875,0.18"
"13.19875,0.02"
"13.21875,0.26"
"13.23875,0.67"
"13.25875,1.07"
"13.27875,1.42"
"13.29875,2"
"13.31875,2.49"
"13.33875,3.17"
"13.35875,3.69"
"13.37875,4.29"
"13.39875,5.19"
"13.41875,5.86"
"13.43875,6.56"
"13.45875,7.44"
"13.47875,8.4"
"13.49875,9.17"
"13.51875,9.77"
"13.53875,10.57"
"13.55875,11.23"
"13.57875,11.98"
"13.59875,12.58"
"13.61875,13.09"
"13.63875,13.83"
"13.65875,14.61"
"13.67875,15.49"
"13.69875,16.32"
"13.71875,17.21"
"13.73875,18.01"
"13.75875,18.87"
"13.77875,19.67"
"13.79875,20.29"
"13.81875,21.27"
"13.83875,21.9"
"13.85875,22.23"
"13.87875,22.92"
"13.89875,23.91"
"13.91875,24.59"
"13.93875,25.17"
"13.95875,25.64"
"13.97875,26.04"
"13.99875,26.45"
"14.01875,26.93"
"14.03875,27.22"
"14.05875,27.22"
"14.07875,27.63"
"14.09875,28.11"
"14.11875,28.39"
"14.13875,28.63"
"14.15875,28.99"
"14.17875,29.32"
"14.19875,29.65"
"14.21875,30.16"
"14.23875,30.38"
"14.25875,30.79"
"14.27875,31.04"
"14.29875,31.49"
"14.31875,31.85"
"14.33875,32.2"
"14.35875,32.5"
"14.37875,32.7"
"14.39875,32.81"
"14.41875,32.93"
"14.43875,33.05"
"14.45875,33.27"
"14.47875,33.24"
"14.49875,33.16"
"14.51875,33.15"
"14.53875,33.22"
"14.55875,33.13"
"14.57875,33.56"
"14.59875,33.68"
"14.61875,33.82"
"14.63875,33.86"
"14.65875,33.89"
"14.67875,33.84"
"14.69875,33.78"
"14.71875,33.84"
"14.73875,33.9"
"14.75875,34.05"
"14.77875,34.2"
"14.79875,34.39"
"14.81875,34.6"
"14.83875,34.75"
"14.85875,34.78"
"14.87875,34.59"
"14.89875,34.42"
"14.91875,34.37"
"14.93875,34.33"
"14.95875,34.31"
"14.97875,34.3"
"14.99875,34.33"
"15.01875,34.46"
"15.03875,34.48"
"15.05875,34.56"
"15.07875,34.7"
"15.09875,34.76"
"15.11875,34.92"
"15.13875,34.94"
"15.15875,35.06"
"15.17875,35.16"
"15.19875,35.25"
"15.21875,35.41"
"15.23875,35.47"
"15.25875,35.51"
"15.27875,35.57"
"15.29875,35.67"
"15.31875,35.59"
"15.33875,35.55"
"15.35875,35.3"
"15.37875,35.18"
"15.39875,35.17"
"15.41875,35.17"
"15.43875,35.21"
"15.45875,35.33"
"15.47875,35.22"
"15.49875,35.19"
"15.51875,35.21"
"15.53875,35.1"
"15.55875,35.08"
"15.57875,34.95"
"15.59875,35.02"
"15.61875,35.04"
"15.63875,35.16"
"15.65875,35.13"
"15.67875,35.01"
"15.69875,34.66"
"15.71875,34.28"
"15.73875,33.74"
"15.75875,33.29"
"15.77875,32.54"
"15.79875,31.86"
"15.81875,31.17"
"15.83875,30.62"
"15.85875,30.1"
"15.87875,29.63"
"15.89875,29.16"
"15.91875,28.64"
"15.93875,28.16"
"15.95875,27.59"
"15.97875,27.01"
"15.99875,26.34"
"16.01875,25.63"
"16.03875,24.94"
"16.05875,24.08"
"16.07875,23.28"
"16.09875,22.6"
"16.11875,21.48"
"16.13875,20.71"
"16.15875,19.74"
"16.17875,18.85"
"16.19875,18.21"
"16.21875,17.88"
"16.23875,17.57"
"16.25875,17.36"
"16.27875,16.96"
"16.29875,16.61"
"16.31875,16.01"
"16.33875,15.68"
"16.35875,15.38"
"16.37875,14.88"
"16.39875,14.5"
"16.41875,13.92"
"16.43875,13.41"
"16.45875,12.93"
"16.47875,12.46"
"16.49875,12.07"
"16.51875,11.54"
"16.53875,11.04"
"16.55875,10.67"
"16.57875,10.28"
"16.59875,9.98"
"16.61875,9.64"
"16.63875,9.33"
"16.65875,9.15"
"16.67875,8.96"
"16.69875,8.82"
"16.71875,8.65"
"16.73875,8.3"
"16.75875,8.02"
"16.77875,7.55"
"16.79875,7.07"
"16.81875,6.63"
"16.83875,6.3"
"16.85875,5.98"
"16.87875,5.7"
"16.89875,5.43"
"16.91875,5.12"
"16.93875,4.79"
"16.95875,4.48"
"16.97875,4.24"
"16.99875,3.95"
"17.01875,3.63"
"17.03875,3.34"
"17.05875,3.15"
"17.07875,2.81"
"17.09875,2.51"
"17.11875,2.19"
"17.13875,1.93"
"17.15875,1.72"
"17.17875,1.5"
"17.19875,1.35"
"17.21875,1.29"
"17.23875,1.17"
"17.25875,1.01"
"17.27875,0.73"
"17.29875,0.53"
"17.31875,0.48"
"17.33875,0.54"
"17.35875,0.65"
"17.37875,0.57"
"17.39875,0.5"
"17.41875,0.45"
"17.43875,0.34"
"17.45875,0.36"
"17.47875,0.34"
"17.49875,0.43"
"17.51875,0.39"
"17.53875,0.27"
"17.55875,0.33"
"17.57875,0.18"
"17.59875,0.22"
"17.61875,0.16"
"17.63875,0.22"
"17.65875,0.27"
"17.67875,0.17"
"17.69875,0.13"
"17.71875,0.09"
"17.73875,0.18"
"17.75875,0.2"
"17.77875,0.17"
"17.79875,0.13"
"17.81875,0.06"
"17.83875,0.06"
"17.85875,0.07"
"17.87875,0.28"
"17.89875,0.22"
"17.91875,0.16"
"17.93875,0.24"
"17.95875,0.12"
"17.97875,0.09"
"17.99875,0.05"
"18.01875,0.2"
"18.03875,0.04"
"18.05875,0"
"18.07875,0"
"18.09875,0.01"
"18.11875,0.01"
"18.13875,0.12"
"18.15875,0.17"
"18.17875,0.21"
"18.19875,0.22"
"18.21875,0.3"
"18.23875,0.29"
"18.25875,0.3"
"18.27875,0.33"
"18.29875,0.31"
"18.31875,0.33"
"18.33875,0.48"
"18.35875,0.65"
"18.37875,0.65"
"18.39875,0.85"
"18.41875,1.07"
"18.43875,1.36"
"18.45875,1.52"
"18.47875,1.66"
"18.49875,1.6"
"18.51875,1.67"
"18.53875,1.69"
"18.55875,1.58"
"18.57875,1.51"
"18.59875,1.44"
"18.61875,1.4"
"18.63875,1.45"
"18.65875,1.48"
"18.67875,1.51"
"18.69875,1.5"
"18.71875,1.51"
"18.73875,1.39"
"18.75875,1.42"
"18.77875,1.5"
"18.79875,1.42"
"18.81875,1.33"
"18.83875,1.34"
"18.85875,1.21"
"18.87875,1.16"
"18.89875,1.07"
"18.91875,1.03"
"18.93875,1.03"
"18.95875,1.09"
"18.97875,1.06"
"18.99875,1.16"
"19.01875,1.17"
"19.03875,1.19"
"19.05875,1.24"
"19.07875,1.34"
"19.09875,1.34"
"19.11875,1.34"
"19.13875,1.21"
"19.15875,1.17"
"19.17875,1.17"
"19.19875,1.17"
"19.21875,1.11"
"19.23875,1.01"
"19.25875,1.1"
"19.27875,1.03"
"19.29875,1.03"
"19.31875,1.12"
"19.33875,1.11"
"19.35875,1.16"
"19.37875,1.17"
"19.39875,1.19"
"19.41875,1.32"
"19.43875,1.23"
"19.45875,1.09"
"19.47875,1.16"
"19.49875,1.23"
"19.51875,1.23"
"19.53875,1.17"
"19.55875,1.14"
"19.57875,1.04"
"19.59875,1.13"
"19.61875,1.22"
"19.63875,1.17"
"19.65875,1.25"
"19.67875,1.33"
"19.69875,1.37"
"19.71875,1.38"
"19.73875,1.49"
"19.75875,1.62"
"19.77875,1.67"
"19.79875,1.91"
"19.81875,2"
"19.83875,1.97"
"19.85875,2.01"
"19.87875,2.01"
"19.89875,1.94"
"19.91875,1.85"
"19.93875,1.84"
"19.95875,1.84"
"19.97875,1.84"
"19.99875,1.85"
"20.01875,1.93"
"20.03875,2.2"
"20.05875,2.37"
"20.07875,2.37"
"20.09875,2.47"
"20.11875,2.52"
"20.13875,2.63"
"20.15875,2.76"
"20.17875,2.98"
"20.19875,2.95"
"20.21875,3.1"
"20.23875,3.19"
