time,DegOfDev
9.979813,27.72
9.999812,26.99
10.01981,26.34
10.03981,25.68
10.05981,24.83
10.07981,23.99
10.09981,23.31
10.11981,22.41
10.13981,21.67
10.15981,21.02
10.17981,20.02
10.19981,19.01
10.21981,17.98
10.23981,17.06
10.25981,15.82
10.27981,14.89
10.29981,14.18
10.31981,13.28
10.33981,12.58
10.35981,11.95
10.37981,11.35
10.39981,10.7
10.41981,10.18
10.43981,9.67
10.45981,9.2
10.47981,8.68
10.49981,8.25
10.51981,7.8
10.53981,7.2
10.55981,6.6
10.57981,6.06
10.59981,5.57
10.61981,5.08
10.63981,4.67
10.65981,4.37
10.67981,3.98
10.69981,3.72
10.71981,3.4
10.73981,2.92
10.75981,2.68
10.77981,2.42
10.79981,2.2
10.81981,2.01
10.83981,1.89
10.85981,1.85
10.87981,1.77
10.89981,1.65
10.91981,1.55
10.93981,1.44
10.95981,1.34
10.97981,1.2
10.99981,1.05
11.01981,0.85
11.03981,0.67
11.05981,0.53
11.07981,0.35
11.09981,0.2
11.11981,0.07
11.13981,0.05
11.15981,0.02
11.17981,0.05
11.19981,0.02
11.21981,0.14
11.23981,0.16
11.25981,0.17
11.27981,0.16
11.29981,0.19
11.31981,0.23
11.33981,0.26
11.35981,0.27
11.37981,0.03
11.39981,0.33
11.41981,0.28
11.43981,0.36
11.45981,0.48
11.47981,0.58
11.49981,0.76
11.51981,0.73
11.53981,0.83
11.55981,0.85
11.57981,0.83
11.59981,0.77
11.61981,0.75
11.63981,0.67
11.65981,0.55
11.67981,0.55
11.69981,0.64
11.71981,0.69
11.73981,0.67
11.75981,0.69
11.77981,0.69
11.79981,0.73
11.81981,0.61
11.83981,0.62
11.85981,0.66
11.87981,0.7
11.89981,0.68
11.91981,0.56
11.93981,0.57
11.95981,0.71
11.97981,0.88
11.99981,0.92
12.01981,1.07
12.03981,1.12
12.05981,1.09
12.07981,1.3
12.09981,1.34
12.11981,1.23
12.13981,1.2
12.15981,1.22
12.17981,1.25
12.19881,1.19
12.21981,1.19
12.23881,1.18
12.25981,1.22
12.27981,1.32
12.29981,1.22
12.31981,1.32
12.33981,1.4
12.35981,1.28
12.37981,1.26
12.39981,1.17
12.41981,1.17
12.43981,1.19
12.45981,1.05
12.47981,1.14
12.49981,1.05
12.51981,1.03
12.53981,1.07
12.55981,1.02
12.57981,0.94
12.59981,0.94
12.61981,1
12.63981,1.02
12.65981,1.12
12.67981,1.19
12.69981,1.3
12.71981,1.2
12.73981,1.31
12.75981,1.31
12.77981,1.23
12.79981,1.17
12.81981,1.12
12.83981,0.97
12.85981,0.99
12.87981,1.04
12.89981,1.15
12.91981,1.17
12.93981,1.19
12.95981,1.25
12.97981,1.34
12.99981,1.34
13.01981,1.2
13.03981,1.04
13.05981,0.84
13.07981,0.73
13.09981,0.55
13.11981,0.34
13.13981,0.18
13.15981,0.03
13.17981,0
13.19981,0.01
13.21981,0
13.23981,0.11
13.25981,0.11
13.27981,0.03
13.29981,0.08
13.31981,0.2
13.33981,0.31
13.35981,0.34
13.37981,0.32
13.39981,0.22
13.41981,0.3
13.43981,0.4
13.45981,0.32
13.47981,0.22
13.49981,0.16
13.51981,0.12
13.53981,0.06
13.55981,0
13.57981,0
13.59981,0.11
13.61981,0.04
13.63981,0.04
13.65981,0.06
13.67981,0
13.69981,0.08
13.71981,0.16
13.73981,0.07
13.75981,0.04
13.77981,0.05
13.79981,0.08
13.81981,0.01
13.83981,0.03
13.85981,0.07
13.87981,0.26
13.89981,0.44
13.91981,0.53
13.93981,0.58
13.95981,0.68
13.97981,0.83
13.99981,0.89
14.01981,1.05
14.03981,1.24
14.05981,1.38
14.07981,1.62
14.09981,1.64
14.11981,1.68
14.13981,1.7
14.15981,1.57
14.17981,1.51
14.19981,1.51
14.21981,1.43
14.23981,1.37
14.25981,1.3
14.27981,1.3
14.29981,1.39
14.31981,1.52
14.33981,1.6
14.35981,1.63
14.37981,1.62
14.39981,1.69
14.41981,1.76
14.43981,1.87
14.45981,2.01
14.47981,2.09
14.49981,2.18
14.51981,2.42
14.53981,2.61
14.55981,2.76
14.57981,2.97
14.59981,3.11
14.61981,3.32
14.63981,3.53
14.65981,3.69
14.67981,3.87
14.69981,4.06
14.71981,4.26
14.73981,4.5
14.75981,4.65
14.77981,4.71
14.79981,4.73
14.81981,4.77
14.83981,4.79
14.85981,4.9
14.87981,5.08
14.89981,5.38
14.91981,5.55
14.93981,5.86
14.95981,6.34
14.97981,6.75
14.99981,7.04
15.01981,7.39
15.03981,7.67
15.05981,7.9
15.07981,8.23
15.09981,8.51
15.11981,8.7
15.13981,9.02
15.15881,9.27
15.17981,9.49
15.19881,9.69
15.21981,9.84
15.23881,9.94
15.25881,10.08
15.27881,10.16
15.29881,10.41
15.31981,10.54
15.33981,10.89
15.35881,11.13
15.37881,11.37
15.39881,11.7
15.41981,11.96
15.43881,12.25
15.45881,12.46
15.47881,12.62
15.49881,12.83
15.51981,13.06
15.53881,13.35
15.55881,13.66
15.57881,13.96
15.59881,14.18
15.61981,14.38
15.63981,14.6
15.65881,14.66
15.67881,14.8
15.69881,14.83
15.71981,14.9
15.73881,15
15.75881,15.05
15.77881,15.15
15.79881,15.2
15.81981,15.38
15.83881,15.5
15.85881,15.5
15.87881,15.51
15.89881,15.45
15.91981,15.28
15.93981,15.24
15.95881,15.16
15.97881,15.07
15.99881,15.16
16.01981,15.37
16.03881,15.5
16.05881,15.51
16.07881,15.52
16.09881,15.51
16.11981,15.45
16.13881,15.35
