time,AccPed2D
328.2427,99.9855
328.2627,99.9855
328.2827,99.9855
328.3017,99.9855
328.3227,99.9855
328.3417,99.9855
328.3627,99.9855
328.3817,99.9855
328.4017,99.9855
328.4217,99.9855
328.4417,99.9855
328.4627,99.9855
328.4827,19.605
328.5027,19.605
328.5227,94.8882
328.5427,38.4258
328.5627,99.9855
328.5827,99.9855
328.6027,99.9855
328.6217,99.9855
328.6417,99.9855
328.6627,99.9855
328.6817,99.9855
328.7017,99.9855
328.7217,99.9855
328.7417,99.9855
328.7617,99.9855
328.7817,99.9855
328.8017,99.9855
328.8217,20.3892
328.8417,94.8882
328.8617,0
328.8817,99.9855
328.9017,99.9855
328.9217,99.9855
328.9417,99.9855
328.9617,99.9855
328.9817,99.9855
329.0017,99.9855
329.0217,99.9855
329.0417,99.9855
329.0617,99.9855
329.0817,99.9855
329.1017,99.9855
329.1217,99.9855
329.1417,21.1734
329.1617,38.4258
329.1817,0
329.2017,0
329.2217,99.9855
329.2417,99.9855
329.2617,99.9855
329.2817,99.9855
329.3017,99.9855
329.3217,99.9855
329.3417,99.9855
329.3617,99.9855
329.3817,99.9855
329.4017,99.9855
329.4217,99.9855
329.4417,99.9855
329.4617,94.8882
329.4817,38.4258
329.5017,38.4258
329.5217,0
329.5417,99.9855
329.5617,99.9855
329.5817,99.9855
329.6017,99.9855
329.6217,99.9855
329.6417,99.9855
329.6617,99.9855
329.6817,99.9855
329.7017,99.9855
329.7207,99.9855
329.7407,99.9855
329.7607,20.7813
329.7807,94.8882
329.8007,94.8882
329.8207,38.4258
329.8407,0
329.8607,99.9855
329.8817,99.9855
329.9007,99.9855
329.9207,99.9855
329.9407,99.9855
329.9607,99.9855
329.9807,99.9855
330.0007,99.9855
330.0207,99.9855
330.0407,99.9855
330.0607,99.9855
330.0817,19.9971
330.1007,94.8882
330.1207,94.8882
330.1407,38.4258
330.1607,99.9855
330.1817,99.9855
330.2017,99.9855
330.2207,99.9855
330.2407,99.9855
330.2607,99.9855
330.2817,99.9855
330.3007,99.9855
330.3207,99.9855
330.3407,99.9855
330.3607,99.9855
330.3807,99.9855
330.4007,19.9971
330.4207,19.9971
330.4407,94.8882
330.4607,0
330.4807,99.9855
330.5007,99.9855
330.5207,99.9855
330.5407,99.9855
330.5607,99.9855
330.5807,99.9855
330.6007,99.9855
330.6207,99.9855
330.6407,99.9855
330.6607,99.9855
330.6807,99.9855
330.7007,99.9855
330.7207,99.9855
330.7407,20.3892
330.7607,38.4258
330.7807,0
330.8007,99.9855
330.8207,99.9855
330.8407,99.9855
330.8607,99.9855
330.8807,99.9855
330.9007,99.9855
330.9207,99.9855
330.9407,99.9855
330.9607,99.9855
330.9807,99.9855
331.0007,99.9855
331.0207,99.9855
331.0407,99.9855
331.0607,94.8882
331.0807,38.4258
331.1007,0
331.1207,0
331.1407,99.9855
331.1607,99.9855
331.1807,99.9855
331.2007,99.9855
331.2207,99.9855
331.2407,99.9855
331.2607,99.9855
331.2797,99.9855
331.3007,99.9855
331.3207,99.9855
331.3407,99.9855
331.3607,20.3892
331.3807,94.8882
331.4007,38.4258
331.4207,38.4258
331.4407,0
331.4607,99.9855
331.4797,99.9855
331.5007,99.9855
331.5207,99.9855
331.5407,99.9855
331.5607,99.9855
331.5797,99.9855
331.5997,99.9855
331.6207,99.9855
331.6397,99.9855
331.6607,99.9855
331.6797,19.9971
331.6997,19.9971
331.7197,94.8882
331.7397,38.4258
331.7597,99.9855
331.7797,99.9855
331.7997,99.9855
331.8197,99.9855
331.8397,99.9855
331.8597,99.9855
331.8797,99.9855
331.8997,99.9855
331.9197,99.9855
331.9397,99.9855
331.9597,99.9855
331.9797,99.9855
