time,DegOfDev
10.33881,11.67
10.35881,11.66
10.37881,11.75
10.39881,11.81
10.41881,11.86
10.43881,11.91
10.45881,11.97
10.47881,12.01
10.49881,12.03
10.51881,12.1
10.53881,12.15
10.55881,12.15
10.57881,12.26
10.59881,12.38
10.61881,12.42
10.63881,12.47
10.65881,12.48
10.67881,12.53
10.69881,12.53
10.71881,12.62
10.73881,12.78
10.75881,12.96
10.77881,13.02
10.79881,13.12
10.81881,13.18
10.83881,13.33
10.85881,13.47
10.87881,13.49
10.89881,13.5
10.91881,13.51
10.93881,13.57
10.95881,13.64
10.97881,13.8
10.99881,13.9
11.01881,14.04
11.03881,14.18
11.05881,14.35
11.07881,14.45
11.09881,14.58
11.11881,14.67
11.13881,14.71
11.15881,14.82
11.17881,14.91
11.19881,14.98
11.21881,15.02
11.23881,15.02
11.25881,15
11.27881,14.92
11.29881,14.85
11.31881,14.84
11.33881,14.78
11.35881,14.69
11.37881,14.67
11.39881,14.68
11.41881,14.67
11.43881,14.56
11.45881,14.63
11.47881,14.59
11.49881,14.7
11.51881,14.72
11.53881,14.67
11.55881,14.64
11.57881,14.62
11.59881,14.59
11.61881,14.63
11.63881,14.56
11.65881,14.51
11.67881,14.49
11.69881,14.48
11.71881,14.44
11.73881,14.4
11.75881,14.49
11.77881,14.51
11.79881,14.5
11.81881,14.57
11.83881,14.55
11.85881,14.58
11.87881,14.52
11.89881,14.5
11.91881,14.37
11.93881,14.42
11.95881,14.49
11.97881,14.51
11.99881,14.41
12.01881,14.5
12.03881,14.64
12.05881,14.66
12.07881,14.78
12.09881,14.95
12.11881,15.02
12.13881,15.02
12.15881,15.06
12.17881,15.18
12.19881,15.22
12.21881,15.38
12.23881,15.51
12.25881,15.54
12.27881,15.67
12.29881,15.76
12.31881,15.84
12.33881,15.97
12.35881,16.07
12.37881,16.18
12.39881,16.29
12.41881,16.5
12.43881,16.54
12.45881,16.68
12.47881,16.7
12.49881,16.75
12.51881,16.94
12.53881,16.99
12.55881,17.17
12.57881,17.37
12.59881,17.63
12.61881,17.76
12.63881,17.91
12.65881,18.12
12.67881,18.26
12.69881,18.23
12.71881,18.36
12.73881,18.51
12.75881,18.56
12.77881,18.56
12.79881,18.57
12.81881,18.6
12.83881,18.68
12.85881,18.63
12.87881,18.72
12.89881,18.74
12.91881,18.78
12.93881,18.88
12.95881,18.93
12.97881,18.93
12.99881,19.04
13.01881,19.13
13.03881,19.14
13.05881,19.15
13.07881,19.09
13.09881,19.07
13.11881,19.14
13.13881,19.19
13.15881,19.15
13.17881,19.21
13.19881,19.24
13.21881,19.19
13.23881,19.25
13.25881,19.26
13.27881,19.26
13.29881,19.29
13.31881,19.31
13.33881,19.25
13.35881,19.29
13.37881,19.35
13.39881,19.31
13.41881,19.31
13.43881,19.33
13.45881,19.35
13.47881,19.28
13.49881,19.29
13.51881,19.16
13.53881,19.07
13.55881,19.09
13.57881,19.02
13.59881,18.91
13.61781,18.88
13.63781,18.83
13.65781,18.81
13.67781,18.8
13.69781,18.73
13.71781,18.71
13.73781,18.73
13.75781,18.73
13.77781,18.64
13.79781,18.48
13.81781,18.38
13.83781,18.27
13.85781,18.22
13.87781,18.11
13.89781,18.11
13.91781,18.05
13.93781,18.05
13.95781,17.93
13.97781,17.78
13.99781,17.72
14.01781,17.72
14.03781,17.7
14.05781,17.58
14.07781,17.43
14.09781,17.35
14.11781,17.23
14.13881,17.19
14.15781,17.06
14.17781,16.97
14.19781,16.69
14.21781,16.42
14.23881,16.25
14.25781,16.01
14.27781,15.9
14.29781,15.68
14.31781,15.44
14.33881,15.32
14.35781,15.13
14.37781,15.03
14.39781,14.94
14.41781,14.91
14.43881,14.99
14.45781,14.98
14.47781,15.01
14.49781,14.8
14.51781,14.63
14.53881,14.45
14.55781,14.12
14.57781,13.81
14.59781,13.67
14.61881,13.56
14.63881,13.35
14.65881,13.23
14.67881,13.02
14.69881,12.8
14.71881,12.66
14.73881,12.48
14.75881,12.33
14.77881,12.25
14.79881,12.25
14.81881,12.17
14.83881,12.04
14.85881,12.04
14.87881,11.91
14.89881,11.7
14.91881,11.57
