time,DegOfDev
12.82059,0.67
12.84059,0.67
12.86059,0.67
12.88059,0.67
12.90059,0.67
12.92059,0.67
12.94059,0.73
12.96059,0.77
12.98059,0.68
13.00059,0.72
13.02059,0.69
13.04059,0.71
13.06059,0.73
13.08059,0.73
13.10059,0.78
13.12059,0.77
13.14059,0.8
13.16059,0.74
13.18059,0.7
13.20059,0.67
13.22059,0.67
13.24059,0.79
13.26059,0.79
13.28059,0.79
13.30059,0.78
13.32059,0.75
13.34059,0.7
13.36059,0.7
13.38059,0.79
13.40059,0.73
13.42059,0.74
13.44059,0.76
13.46059,0.79
13.48059,0.77
13.50059,0.74
13.52059,0.67
13.54059,0.67
13.56059,0.67
13.58059,0.69
13.60059,0.71
13.62059,0.67
13.64059,0.74
13.66059,0.68
13.68059,0.71
13.70059,0.69
13.72059,0.71
13.74059,0.81
13.76059,0.81
13.78059,0.81
13.80059,0.72
13.82059,0.67
13.84059,0.67
13.86059,0.66
13.88059,0.76
13.90059,0.8
13.92059,0.78
13.94059,0.73
13.96059,0.67
13.98059,0.69
14.00059,0.71
14.02059,0.69
14.04059,0.67
14.06059,0.71
14.08059,0.69
14.10059,0.72
14.12059,0.7
14.14059,0.67
14.16059,0.67
14.18059,0.67
14.20059,0.67
14.22059,0.68
14.24059,0.67
14.26059,0.73
14.28059,0.69
14.30059,0.67
14.32059,0.69
14.34059,0.74
14.36059,0.67
14.38059,0.71
14.40059,0.67
14.42059,0.67
14.44059,0.67
14.46059,0.74
14.48059,0.81
14.50059,0.83
14.52059,0.82
14.54059,0.7
14.56059,0.67
14.58059,0.72
14.60059,0.69
14.62059,0.71
14.64059,0.71
14.66059,0.67
14.68059,0.73
14.70059,0.73
14.72059,0.78
14.74059,0.68
14.76059,0.67
14.78059,0.67
14.80059,0.72
14.82059,0.8
14.84059,0.73
14.86059,0.68
14.88059,0.79
14.90059,0.82
14.92059,0.76
14.94059,0.73
14.96059,0.7
14.98059,0.72
15.00059,0.7
15.02059,0.67
15.04059,0.67
15.06059,0.8
15.08059,0.71
15.10059,0.67
15.12059,0.67
15.14059,0.68
15.16059,0.67
15.18059,0.75
15.20059,0.68
15.22059,0.67
15.24059,0.69
15.26059,0.68
15.28059,0.79
15.30059,0.8
15.32059,0.82
15.34059,0.72
15.36059,0.71
15.38059,0.78
15.40059,0.81
15.42059,0.81
15.44059,0.71
15.46059,0.69
15.48059,0.67
15.50059,0.69
15.52059,0.76
15.54059,0.72
15.56059,0.73
15.58059,0.73
15.60059,0.67
15.62059,0.75
15.64059,0.76
15.66059,0.71
15.68059,0.82
15.70059,0.81
15.72059,0.72
15.74059,0.68
15.76059,0.67
15.78059,0.73
15.80059,0.71
15.82059,0.67
15.84059,0.67
15.86059,0.67
15.88059,0.7
15.90059,0.72
15.92059,0.8
15.94059,0.76
15.96059,0.82
15.98059,0.79
16.00059,0.81
16.02059,0.81
16.04059,0.79
16.06059,0.82
16.08059,0.83
16.10059,0.83
16.12059,0.75
16.14059,0.67
16.16059,0.67
16.18059,0.67
16.20059,0.67
16.22059,0.67
16.24059,0.68
16.26059,0.69
16.28059,0.67
16.30059,0.73
16.32059,0.83
16.34059,0.81
16.36059,0.77
16.38059,0.77
16.40059,0.73
16.42059,0.68
16.44059,0.67
16.46059,0.67
16.48059,0.67
16.50059,0.67
16.52059,0.68
16.54059,0.67
16.56059,0.67
16.58059,0.67
16.60059,0.71
16.62059,0.74
16.64059,0.69
16.66059,0.74
16.68059,0.74
16.70059,0.67
16.72059,0.75
16.74059,0.74
16.76059,0.67
16.78059,0.78
16.80059,0.71
16.82059,0.71
16.84059,0.74
16.86059,0.66
16.88059,0.65
16.90059,0.67
16.92059,0.75
16.94059,0.77
16.96059,0.69
16.98059,0.67
17.00059,0.67
17.02059,0.67
17.04059,0.79
17.06059,0.83
17.08059,0.83
17.10059,0.81
17.12059,0.82
