time,RevoPMin
287.4886,1361
287.5086,1364
287.5286,1370
287.5486,1369
287.5686,1365
287.5876,1361
287.6076,1360
287.6276,1361
287.6476,1364
287.6676,1366
287.6876,1359
287.7076,1355
287.7276,1353
287.7476,1347
287.7676,1341
287.7876,1329
287.8076,1320
287.8276,1317
287.8476,1322
287.8676,1345
287.8876,1362
287.9076,1366
287.9276,1367
287.9476,1361
287.9676,1359
287.9876,1358
288.0076,1356
288.0276,1347
288.0476,1340
288.0676,1345
288.0876,1357
288.1076,1362
288.1276,1361
288.1476,1357
288.1676,1350
288.1876,1344
288.2076,1346
288.2276,1352
288.2476,1358
288.2676,1353
288.2876,1353
288.3076,1354
288.3276,1351
288.3476,1344
288.3676,1347
288.3876,1351
288.4076,1353
288.4276,1350
288.4476,1345
288.4676,1345
288.4876,1342
288.5076,1340
288.5276,1340
288.5476,1345
288.5676,1345
288.5876,1346
288.6076,1343
288.6276,1341
288.6476,1341
288.6676,1340
288.6876,1337
288.7076,1337
288.7276,1342
288.7476,1340
288.7676,1340
288.7876,1336
288.8076,1337
288.8276,1337
288.8476,1336
288.8676,1336
288.8876,1336
288.9076,1338
288.9276,1337
288.9476,1337
288.9676,1332
288.9876,1333
289.0076,1331
289.0276,1333
289.0476,1335
289.0676,1336
289.0866,1336
289.1066,1332
289.1266,1330
289.1466,1327
289.1666,1330
289.1866,1333
289.2066,1333
289.2266,1329
289.2466,1327
289.2666,1330
289.2866,1328
289.3066,1320
289.3266,1326
289.3466,1336
289.3666,1342
289.3866,1330
289.4066,1328
289.4266,1330
289.4466,1330
289.4666,1325
289.4866,1330
289.5066,1332
289.5266,1332
289.5466,1328
289.5666,1321
289.5866,1321
289.6066,1322
289.6266,1324
289.6466,1322
289.6666,1324
289.6866,1323
289.7066,1322
289.7266,1322
289.7466,1321
289.7666,1322
289.7866,1320
289.8066,1323
289.8266,1320
289.8466,1320
289.8666,1319
289.8866,1320
289.9066,1320
289.9266,1321
289.9466,1321
289.9666,1318
289.9866,1320
290.0066,1319
290.0266,1320
290.0466,1319
290.0666,1320
290.0866,1319
290.1066,1318
290.1266,1318
290.1466,1316
290.1666,1319
290.1866,1318
290.2066,1319
290.2266,1317
290.2466,1318
290.2666,1319
290.2866,1317
290.3066,1317
290.3266,1315
290.3466,1317
290.3666,1319
290.3866,1320
290.4066,1318
290.4266,1318
290.4466,1321
290.4666,1320
290.4866,1320
290.5066,1319
290.5266,1321
290.5466,1321
290.5666,1318
290.5856,1314
290.6056,1313
290.6266,1314
290.6456,1314
290.6656,1315
290.6856,1314
290.7056,1313
290.7256,1313
290.7456,1313
290.7656,1315
290.7856,1317
290.8056,1322
290.8256,1323
290.8456,1324
290.8656,1323
290.8856,1323
290.9056,1325
290.9256,1325
290.9456,1328
290.9656,1329
290.9856,1334
291.0056,1337
291.0256,1338
291.0456,1335
291.0656,1335
291.0856,1336
291.1056,1335
291.1256,1339
291.1456,1339
291.1656,1341
291.1856,1340
291.2056,1340
291.2256,1338
291.2456,1341
291.2656,1344
291.2856,1346
291.3056,1347
291.3256,1345
291.3456,1348
291.3656,1346
291.3856,1347
291.4056,1347
291.4256,1350
291.4456,1351
291.4656,1351
291.4856,1351
291.5056,1349
291.5256,1355
291.5456,1355
291.5656,1357
291.5856,1356
291.6056,1358
291.6256,1357
291.6456,1358
291.6656,1360
291.6856,1361
291.7056,1362
291.7256,1363
291.7456,1365
291.7656,1362
291.7856,1364
291.8056,1364
291.8256,1366
291.8456,1365
291.8656,1367
291.8856,1369
291.9056,1368
291.9256,1368
291.9456,1366
291.9656,1370
291.9856,1371
292.0056,1373
292.0256,1372
292.0456,1373
292.0656,1374
292.0856,1375
292.1046,1375
292.1246,1376
292.1446,1380
292.1646,1380
292.1846,1382
292.2046,1378
292.2256,1379
292.2446,1381
292.2646,1383
292.2846,1382
292.3046,1384
292.3246,1384
292.3446,1383
292.3646,1384
292.3846,1385
292.4046,1388
292.4246,1388
292.4446,1391
292.4646,1388
292.4846,1390
292.5046,1390
292.5246,1391
292.5446,1389
292.5646,1391
292.5846,1394
292.6046,1395
292.6246,1392
292.6446,1392
292.6646,1395
292.6846,1397
292.7046,1396
292.7246,1394
292.7446,1398
292.7646,1396
292.7846,1396
292.8046,1395
292.8246,1398
292.8446,1397
292.8646,1399
292.8846,1398
292.9046,1400
292.9246,1402
292.9446,1404
292.9646,1402
292.9846,1402
293.0046,1405
293.0246,1407
293.0446,1407
293.0646,1405
293.0846,1408
293.1046,1408
293.1246,1412
293.1446,1412
293.1646,1413
293.1846,1412
293.2046,1413
293.2246,1412
293.2446,1413
293.2646,1416
293.2846,1418
293.3046,1418
293.3246,1417
293.3446,1417
293.3646,1415
293.3846,1417
293.4046,1416
293.4246,1421
293.4446,1421
293.4646,1420
293.4846,1416
293.5046,1419
293.5246,1419
293.5446,1420
293.5646,1420
293.5836,1419
293.6036,1420
293.6236,1421
293.6436,1422
293.6636,1424
293.6836,1426
293.7036,1426
293.7236,1428
293.7436,1424
293.7636,1426
293.7836,1428
293.8036,1431
293.8236,1430
293.8436,1433
293.8636,1430
293.8836,1429
293.9036,1424
293.9236,1426
293.9436,1429
293.9636,1430
293.9836,1427
294.0036,1425
294.0236,1424
294.0436,1423
294.0636,1422
294.0836,1423
294.1036,1426
294.1236,1427
294.1436,1429
294.1636,1426
294.1836,1428
294.2036,1426
294.2236,1428
294.2436,1431
294.2636,1433
294.2836,1429
294.3036,1428
294.3236,1427
294.3436,1429
294.3636,1431
294.3836,1436
294.4036,1437
294.4236,1436
294.4436,1434
294.4636,1435
294.4836,1438
294.5036,1442
294.5236,1445
294.5436,1444
294.5636,1443
294.5836,1438
294.6036,1438
294.6236,1439
294.6436,1443
294.6636,1443
294.6836,1445
294.7036,1442
294.7236,1442
294.7436,1441
294.7636,1446
294.7836,1448
294.8036,1452
294.8236,1451
294.8436,1448
294.8636,1448
294.8836,1448
294.9036,1449
294.9236,1453
294.9436,1454
294.9636,1453
294.9836,1451
295.0036,1451
295.0236,1453
295.0436,1455
295.0626,1456
295.0836,1456
295.1026,1454
